125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	92	58	125	115	0	0	0	0	11500	6670	19
75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	90	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49	55	75	90	0	0	0	0	3675	4950	14
85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	52	45	85	135	0	0	0	0	4420	6075	12
155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24	83	155	140	0	0	0	0	3720	11620	11
120	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	74	86	120	95	0	0	0	0	8880	8170	18
110	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	76	110	100	0	0	0	0	1430	7600	17
115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	140	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58	43	115	140	0	0	0	0	6670	6020	16
70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67	81	70	100	0	0	0	0	4690	8100	13
130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77	89	130	95	0	0	0	0	10010	8455	15
115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38	21	115	100	0	0	0	0	4370	2100	20
40	40	70	70	70	90	90	120	110	130	130	140	140	160	170	180	180	190	190	190	30	40	50	50	80	80	90	90	100	120	120	140	140	140	150	160	170	170	180	200	92	58	125	115	2563.157895	2521.052632	-0.215967755	-0.129257085	11500	6670	9
20	50	50	60	70	90	130	130	140	140	140	150	150	160	170	180	190	190	190	200	10	20	20	30	30	40	70	70	70	70	80	90	130	140	150	150	170	170	190	200	77	89	130	95	2989.473684	3857.894737	-0.578797433	0.24473093	10010	8455	5
30	50	60	70	70	90	100	100	110	120	130	140	150	150	150	170	170	170	180	190	10	10	10	30	40	60	80	100	100	100	110	110	120	120	130	130	140	160	170	170	74	86	120	95	2242.105263	2742.105263	-0.283814643	-0.374556856	8880	8170	8
10	10	10	40	40	40	40	50	60	60	60	70	70	70	100	110	130	150	190	190	10	20	20	30	40	50	60	60	60	70	80	80	90	110	110	130	190	190	200	200	49	55	75	90	2942.105263	3884.210526	0.902444083	0.67990059	3675	4950	4
50	60	80	80	90	90	100	100	110	110	110	110	120	130	130	140	150	180	180	180	20	20	30	50	60	60	80	90	90	90	90	110	120	130	140	140	150	170	180	180	38	21	115	100	1394.736842	2578.947368	0.335885454	0.009895372	4370	2100	10
10	10	10	10	10	50	50	60	70	70	70	90	110	130	140	140	150	160	170	190	40	40	50	60	90	90	120	120	130	130	160	170	170	170	170	190	200	200	200	200	52	45	85	135	3615.789474	3205.263158	0.170622629	-0.442784072	4420	6075	2
20	20	20	40	60	70	80	100	110	110	110	140	140	170	170	180	180	190	190	200	20	70	110	110	120	130	130	140	140	140	140	150	150	150	150	180	190	190	190	200	58	43	115	140	3868.421053	1831.578947	-0.208048085	-1.016792863	6670	6020	6
10	40	40	40	60	60	60	80	80	100	110	130	140	140	170	180	180	190	190	200	10	10	10	20	30	60	70	90	100	110	120	130	130	140	150	150	150	160	170	190	13	76	110	100	3715.789474	3484.210526	0.06150744	-0.352880193	1430	7600	7
10	10	10	10	10	10	20	30	40	50	80	90	90	100	110	110	150	150	150	170	10	20	20	40	50	50	60	80	90	100	110	120	120	120	130	140	150	190	200	200	67	81	70	100	3221.052632	3473.684211	0.350916917	0.178825228	4690	8100	3
30	50	110	120	130	140	150	150	160	160	180	180	180	190	190	190	190	200	200	200	10	20	30	30	100	140	150	150	160	160	160	170	170	180	180	190	200	200	200	200	24	83	155	140	2300	4231.578947	-1.357019437	-1.069907072	3720	11620	1
