Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,participant,session,date,expName,psychopyVersion,OS,frameRate
1,2329,0.172222222,0.25370369,1,0,0,three_green_crosses,0,0,0,20,1,colour,images/2greenCrosses.jpg,three_green_crosses,,001,2023-08-18_12h36.51.446,Wisconsin Card Sorting Task,2022.1.2,Win32,60.14675809
1,2646,-0.126851824,0.266666667,1,0,0,two_yellow_triangles,0,1,1,45,1,colour,images/3yellowDots.jpg,two_yellow_triangles,,001,2023-08-18_12h36.51.446,Wisconsin Card Sorting Task,2022.1.2,Win32,60.14675809
1,2468,0.066666667,0.284259245,1,0,0,three_green_crosses,0,2,2,36,1,colour,images/3greenCrosses.jpg,three_green_crosses,,001,2023-08-18_12h36.51.446,Wisconsin Card Sorting Task,2022.1.2,Win32,60.14675809
