cond,topText,topColour,bottomText,congruent,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,top_txt.started,bottom_txt.started,key_resp.started,top_txt.stopped,bottom_txt.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,trial_fixation.started,trial_fixation.stopped,key_resp.rt,key_resp.duration,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,19.283566099999007,19.283566099999007,s,0.33977350004715845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,綠,green,黃,1,0,2,0,0,0,0,0,0,0,0,,,,,,19.647741699998733,19.647741699998733,20.944354699982796,22.939256299985573,22.939256299985573,23.458884299965575,27,23.458884299965575,23.537460099963937,23.537460099963937,25.432482599979267,25.432482599979267,25.432482599979267,None,0,25.432482599979267,25.93121039995458,,,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,藍,blue,藍,1,1,1,0,0,0,0,0,1,1,4,,,,,,,,,,,,3,25.93121039995458,26.031056199979503,26.031056199979503,27.925906299962662,27.925906299962662,27.925906299962662,1,1,27.925906299962662,28.42461689998163,1.0391883000265807,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,藍,blue,藍,1,1,1,0,0,0,0,0,2,2,3,,,,,,,,,,,,0,28.42461689998163,28.524378399946727,28.524378399946727,30.41945999994641,30.41945999994641,30.41945999994641,1,1,30.41945999994641,30.918308199965395,0.8861216000514105,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,藍,blue,黃,1,0,2,0,0,0,0,0,3,3,8,,,,,,,,,,,,1,30.918308199965395,31.018037599977106,31.018037599977106,32.91288789996179,32.91288789996179,32.91288789996179,2,1,32.91288789996179,33.41153129999293,0.838383500056807,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,紅,red,綠,1,0,2,0,0,0,0,0,4,4,7,,,,,,,,,,,,1,33.41153129999293,33.51136519998545,33.51136519998545,35.40632699994603,35.40632699994603,35.40632699994603,2,1,35.40632699994603,35.90501949994359,1.2030301000922918,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,藍,blue,綠,1,0,2,0,0,0,0,0,5,5,6,,,,,,,,,,,,1,35.90501949994359,36.00476769998204,36.00476769998204,37.89995629998157,37.89995629998157,37.89995629998157,2,1,37.89995629998157,38.3985709999688,1.0806366000324488,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,黃,yellow,紅,1,0,2,0,0,0,0,0,6,6,10,,,,,,,,,,,,21,38.3985709999688,38.498357599950396,38.498357599950396,40.39313559996663,40.39313559996663,40.39313559996663,2,1,40.39313559996663,40.891859699971974,1.0618776000337675,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,紅,red,紅,1,1,1,0,0,0,0,0,7,7,9,,,,,,,,,,,,18,40.891859699971974,40.99157469999045,40.99157469999045,42.8868462999817,42.8868462999817,42.8868462999817,1,1,42.8868462999817,43.38524349994259,0.7177040000678971,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,綠,green,綠,1,1,1,0,0,0,0,0,8,8,1,,,,,,,,,,,,20,43.38524349994259,43.4850688999868,43.4850688999868,45.38020009995671,45.38020009995671,45.38020009995671,1,1,45.38020009995671,45.87887429998955,0.7811983000137843,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
3,藍,blue,綠,1,0,2,0,0,0,0,0,9,9,11,,,,,,,,,,,,0,45.87887429998955,45.97866099997191,45.97866099997191,47.87358559999848,47.87358559999848,47.87358559999848,2,1,47.87358559999848,48.37215439998545,1.1280365000129677,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
1,藍,blue,藍,1,1,1,0,0,0,0,0,10,10,5,,,,,,,,,,,,22,48.37215439998545,48.47206199995708,48.47206199995708,50.367083599965554,50.367083599965554,50.367083599965554,1,1,50.367083599965554,50.865977699984796,0.8839985000668094,None,,,,,,,,Liu_Teng_ZB216,001,2024-02-27_15h37.26.589,stroop-master,2023.1.3,60.15424752654399,
