41.9523 	EXP 	fixation_jitter: autoDraw = True
45.5672 	EXP 	fixation_jitter: autoDraw = False
45.5672 	EXP 	fixation_jitter: autoDraw = False
45.5672 	EXP 	topTxt: text = '黃'
45.5672 	EXP 	bottomTxt: text = '綠'
45.5672 	EXP 	topTxt: autoDraw = True
45.5672 	EXP 	bottomTxt: autoDraw = True
47.5548 	EXP 	New trial (rep=0, index=4): {'cond': 3, 'topText': '黃', 'topColour': 'yellow', 'bottomText': '紅', 'congruent': 1, 'match': 0, 'corrAns': 2}
47.5687 	EXP 	topTxt: autoDraw = False
47.5687 	EXP 	bottomTxt: autoDraw = False
47.5687 	EXP 	fixation_jitter: autoDraw = True
49.7845 	EXP 	fixation_jitter: autoDraw = False
49.7845 	EXP 	fixation_jitter: autoDraw = False
49.7845 	EXP 	topTxt: text = '黃'
49.7845 	EXP 	bottomTxt: text = '紅'
49.7845 	EXP 	topTxt: autoDraw = True
49.7845 	EXP 	bottomTxt: autoDraw = True
51.7830 	EXP 	New trial (rep=0, index=5): {'cond': 3, 'topText': '綠', 'topColour': 'green', 'bottomText': '藍', 'congruent': 1, 'match': 0, 'corrAns': 2}
51.7981 	EXP 	topTxt: autoDraw = False
51.7981 	EXP 	bottomTxt: autoDraw = False
51.7981 	EXP 	fixation_jitter: autoDraw = True
54.3151 	EXP 	fixation_jitter: autoDraw = False
54.3151 	EXP 	fixation_jitter: autoDraw = False
54.3151 	EXP 	topTxt: text = '綠'
54.3151 	EXP 	bottomTxt: text = '藍'
54.3151 	EXP 	topTxt: autoDraw = True
54.3151 	EXP 	bottomTxt: autoDraw = True
56.3145 	EXP 	New trial (rep=0, index=6): {'cond': 3, 'topText': '黃', 'topColour': 'yellow', 'bottomText': '藍', 'congruent': 1, 'match': 0, 'corrAns': 2}
56.3294 	EXP 	topTxt: autoDraw = False
56.3294 	EXP 	bottomTxt: autoDraw = False
56.3294 	EXP 	fixation_jitter: autoDraw = True
59.0314 	EXP 	fixation_jitter: autoDraw = False
59.0314 	EXP 	fixation_jitter: autoDraw = False
59.0314 	EXP 	topTxt: text = '黃'
59.0314 	EXP 	bottomTxt: text = '藍'
59.0314 	EXP 	topTxt: autoDraw = True
59.0314 	EXP 	bottomTxt: autoDraw = True
61.0277 	EXP 	New trial (rep=0, index=7): {'cond': 1, 'topText': '綠', 'topColour': 'green', 'bottomText': '綠', 'congruent': 1, 'match': 1, 'corrAns': 1}
61.0430 	EXP 	topTxt: autoDraw = False
61.0430 	EXP 	bottomTxt: autoDraw = False
61.0430 	EXP 	fixation_jitter: autoDraw = True
64.4497 	EXP 	fixation_jitter: autoDraw = False
64.4497 	EXP 	fixation_jitter: autoDraw = False
64.4497 	EXP 	topTxt: text = '綠'
64.4497 	EXP 	bottomTxt: text = '綠'
64.4497 	EXP 	topTxt: autoDraw = True
64.4497 	EXP 	bottomTxt: autoDraw = True
66.4429 	EXP 	New trial (rep=0, index=8): {'cond': 2, 'topText': '藍', 'topColour': 'yellow', 'bottomText': '黃', 'congruent': 0, 'match': 1, 'corrAns': 1}
66.4579 	EXP 	topTxt: autoDraw = False
66.4579 	EXP 	bottomTxt: autoDraw = False
66.4579 	EXP 	fixation_jitter: autoDraw = True
68.6709 	EXP 	fixation_jitter: autoDraw = False
68.6709 	EXP 	fixation_jitter: autoDraw = False
68.6709 	EXP 	topTxt: text = '藍'
68.6709 	EXP 	bottomTxt: text = '黃'
68.6709 	EXP 	topTxt: autoDraw = True
68.6709 	EXP 	bottomTxt: autoDraw = True
70.6570 	EXP 	New trial (rep=0, index=9): {'cond': 1, 'topText': '藍', 'topColour': 'blue', 'bottomText': '藍', 'congruent': 1, 'match': 1, 'corrAns': 1}
70.6707 	EXP 	topTxt: autoDraw = False
70.6707 	EXP 	bottomTxt: autoDraw = False
70.6707 	EXP 	topTxt: autoDraw = False
70.6707 	EXP 	bottomTxt: autoDraw = False
70.6707 	EXP 	fixation_jitter: autoDraw = True
74.1883 	EXP 	fixation_jitter: autoDraw = False
74.1883 	EXP 	fixation_jitter: autoDraw = False
74.1883 	EXP 	topTxt: text = '藍'
74.1883 	EXP 	bottomTxt: text = '藍'
74.1883 	EXP 	topTxt: autoDraw = True
74.1883 	EXP 	bottomTxt: autoDraw = True
76.1867 	EXP 	New trial (rep=0, index=10): {'cond': 3, 'topText': '黃', 'topColour': 'yellow', 'bottomText': '綠', 'congruent': 1, 'match': 0, 'corrAns': 2}
76.2015 	EXP 	topTxt: autoDraw = False
76.2015 	EXP 	bottomTxt: autoDraw = False
76.2015 	EXP 	fixation_jitter: autoDraw = True
78.4293 	EXP 	fixation_jitter: autoDraw = False
78.4293 	EXP 	fixation_jitter: autoDraw = False
78.4293 	EXP 	topTxt: text = '黃'
78.4293 	EXP 	bottomTxt: text = '綠'
78.4293 	EXP 	topTxt: autoDraw = True
78.4293 	EXP 	bottomTxt: autoDraw = True
80.4167 	EXP 	New trial (rep=0, index=11): {'cond': 4, 'topText': '黃', 'topColour': 'blue', 'bottomText': '綠', 'congruent': 0, 'match': 0, 'corrAns': 2}
80.4319 	EXP 	topTxt: autoDraw = False
80.4319 	EXP 	bottomTxt: autoDraw = False
80.4319 	EXP 	fixation_jitter: autoDraw = True
83.7460 	EXP 	fixation_jitter: autoDraw = False
83.7460 	EXP 	fixation_jitter: autoDraw = False
83.7460 	EXP 	topTxt: text = '黃'
83.7460 	EXP 	bottomTxt: text = '綠'
83.7460 	EXP 	topTxt: autoDraw = True
83.7460 	EXP 	bottomTxt: autoDraw = True
85.7302 	EXP 	New trial (rep=0, index=12): {'cond': 1, 'topText': '紅', 'topColour': 'red', 'bottomText': '紅', 'congruent': 1, 'match': 1, 'corrAns': 1}
85.7450 	EXP 	topTxt: autoDraw = False
85.7450 	EXP 	bottomTxt: autoDraw = False
85.7450 	EXP 	topTxt: autoDraw = False
85.7450 	EXP 	bottomTxt: autoDraw = False
85.7450 	EXP 	fixation_jitter: autoDraw = True
88.7499 	EXP 	fixation_jitter: autoDraw = False
88.7499 	EXP 	fixation_jitter: autoDraw = False
88.7499 	EXP 	topTxt: text = '紅'
88.7499 	EXP 	bottomTxt: text = '紅'
88.7499 	EXP 	topTxt: autoDraw = True
88.7499 	EXP 	bottomTxt: autoDraw = True
90.7432 	EXP 	New trial (rep=0, index=13): {'cond': 2, 'topText': '紅', 'topColour': 'blue', 'bottomText': '藍', 'congruent': 0, 'match': 1, 'corrAns': 1}
90.7590 	EXP 	topTxt: autoDraw = False
90.7590 	EXP 	bottomTxt: autoDraw = False
90.7590 	EXP 	fixation_jitter: autoDraw = True
94.3602 	EXP 	fixation_jitter: autoDraw = False
94.3602 	EXP 	fixation_jitter: autoDraw = False
94.3602 	EXP 	topTxt: text = '紅'
94.3602 	EXP 	bottomTxt: text = '藍'
94.3602 	EXP 	topTxt: autoDraw = True
94.3602 	EXP 	bottomTxt: autoDraw = True
96.3580 	EXP 	New trial (rep=0, index=14): {'cond': 3, 'topText': '黃', 'topColour': 'yellow', 'bottomText': '藍', 'congruent': 1, 'match': 0, 'corrAns': 2}
96.3731 	EXP 	topTxt: autoDraw = False
96.3731 	EXP 	bottomTxt: autoDraw = False
96.3731 	EXP 	fixation_jitter: autoDraw = True
96.5814 	EXP 	window1: mouseVisible = True
