Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,2,1,BP_042_MBBHS_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,60.904735599999185,None,2,0.6110102999991796,60.904735599999185,None,62.911237499998606,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,2,1,BP_043_MLBAS_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,63.42073749999872,None,2,0.7410433999993984,63.42073749999872,None,65.42659370000001,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,2,1,BP_042_MBBHS_BA.png,target,target,Body,2-Back,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,65.93671869999889,None,1,0.3954288999993878,65.93671869999889,None,67.94196209999973,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,2,1,BP_041_FRPUI_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,1,68.4519339999988,None,2,0.606333600000653,68.4519339999988,None,70.45712379999895,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,2,1,BP_039_FRCHI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,1,71.56933949999984,None,2,0.9422500000000582,71.56933949999984,None,None,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.57333089999884,None,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,88.78471509999872,None,88.78471509999872,None,1,91.7179501999999,None,1,0.6570267999995849,91.7179501999999,None,93.71096899999975,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,94.21387700000014,None,1,0.6303266999984771,94.21387700000014,None,96.20914409999932,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_042_TOOL42_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,96.82907929999965,None,2,0.4636287000012089,96.82907929999965,None,98.8243513999987,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
4,3,1,TO_038_TOOL38_BA.png,nonlure,nontarget,Tools,0-Back,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,99.43267409999862,None,2,0.3842571000004682,99.43267409999862,None,101.43952519999948,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1649,nback-master,2021.1.4,59.97969087695082,
