Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,1,FC_004_F2.png,nonlure,nontarget,Face,0-Back,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1,63.31573930000013,63.81798660000277,63.81798660000277,63.31573930000013,2,0.4356508999990183,63.81798660000277,63.31573930000013,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_004_F2.png,lure,nontarget,Face,0-Back,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,1,65.8436072000004,66.34983400000056,66.34983400000056,65.8436072000004,2,0.3618468999993638,66.34983400000056,65.8436072000004,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_001_M1.png,target,target,Face,0-Back,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,68.36819100000139,68.86473810000098,68.86473810000098,68.36819100000139,1,0.5576060999992478,68.86473810000098,68.36819100000139,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_006_F3.png,nonlure,nontarget,Face,0-Back,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,70.9094511000003,71.41365700000097,71.41365700000097,70.9094511000003,2,0.45413320000079693,71.41365700000097,70.9094511000003,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_006_F3.png,lure,nontarget,Face,0-Back,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,1,73.43736880000142,73.94546800000171,73.94546800000171,73.43736880000142,2,0.458522200002335,73.94546800000171,73.43736880000142,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_003_M2.png,lure,nontarget,Face,0-Back,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,1,75.9686548000027,76.46087690000059,76.46087690000059,75.9686548000027,2,0.4283346000011079,76.46087690000059,75.9686548000027,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,2,1,FC_002_F1.png,nonlure,nontarget,Face,0-Back,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,1,78.56585550000091,79.0593454000009,79.0593454000009,78.56585550000091,2,0.4507653000000573,79.0593454000009,78.56585550000091,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.05850590000045,None,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_001_TOOL1_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,96.21173310000086,None,96.21173310000086,None,0,99.02014039999995,99.51455930000157,99.51455930000157,None,None,,99.51455930000157,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
1,3,1,TO_002_TOOL2_BA.png,nonlure,nontarget,Tools,2-Back,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,101.60315520000222,102.096287700002,102.096287700002,101.60315520000222,None,,102.096287700002,101.60315520000222,,,,,,,Jocelyn_personal,001,2024_Feb_19_2112,nback-master,2021.1.4,59.97638130099012,
