Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,(iti duration),(stim duration),(rest duration),prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_txt.stopped,end_key_resp.keys,end_key_resp.rt,end_key_resp.started,end_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate
4,2,1,BP_043_MLBAS_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,1,59.1702055,59.6609181,59.6609181,59.1702055,2,1.9263477,59.6609181,59.1702055,0.4907126,2.114406,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_041_FRPUI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,1,61.7753241,62.2759358,62.2759358,61.7753241,2,1.8586314,62.2759358,61.7753241,0.5006117,2.0390369,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_042_MBBHS_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,1,64.3149727,64.808131,64.808131,64.3149727,2,1.8163956,64.808131,64.3149727,0.4931583,2.0107903,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_043_MLBAS_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,1,66.8189213,67.3237328,67.3237328,66.8189213,2,1.8951213,67.3237328,66.8189213,0.5048115,2.0112795,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_042_MBBHS_BA.png,target,target,Body,2-Back,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,0,69.3350123,69.8388594,69.8388594,69.3350123,2,1.8553468,69.8388594,69.3350123,0.5038471,2.0166615,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_041_FRPUI_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,1,71.8555209,72.3540013,72.3540013,71.8555209,2,1.8814926,72.3540013,71.8555209,0.4984804,2.1782151,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,2,1,BP_039_FRCHI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,1,74.5322164,75.0360203,75.0360203,74.5322164,2,0.8659375,75.0360203,74.5322164,0.5038039,-75.0360203,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,95.0436189,,,,,,77.0355773,None,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,92.192661,None,92.192661,None,0,95.0436189,95.5410123,95.5410123,None,None,,95.5410123,None,0.4973934,2.0090005,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,97.5500128,98.0564616,98.0564616,97.5500128,None,,98.0564616,97.5500128,0.5064488,2.1171775,,,,,,,,,,,,,,Jocelyn_personal,1,2024_Feb_19_2130,nback-master,2021.1.4,60.07665781
