Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,16.613053600000057,None,s,15.930504199999632,16.613053600000057,None,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1717,nback-master,2021.1.4,60.048627378222974,
,,,,,,,,,,,,,,,,,,,,,,32.571565700000065,None,1,0.7889868000002025,32.571565700000065,None,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1717,nback-master,2021.1.4,60.048627378222974,
2,1,1,TO_014_TOOL14_BA.png,nonlure,nontarget,Tools,2-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,33.611166000000594,None,33.611166000000594,None,1,36.47183710000172,36.47183710000172,36.968969200001084,None,2,0.6526025000002846,36.968969200001084,None,Jocelyn_personal,001,2024_Feb_19_1717,nback-master,2021.1.4,60.048627378222974,
2,1,1,TO_013_TOOL13_BA.png,nonlure,nontarget,Tools,2-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,0,39.08273720000034,39.08273720000034,39.58441149999999,39.08273720000034,None,,39.58441149999999,39.08273720000034,Jocelyn_personal,001,2024_Feb_19_1717,nback-master,2021.1.4,60.048627378222974,
