Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,target.started,target.stopped,corr_var,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,prep_instr_2.started,prep_instr_2.stopped,target_2.started,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,15.827838299999712,None,s,0.352173599998423,15.827838299999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
,,,,,,,,,,,,,,,,,,,,,,,,,,16.198654600000737,None,1,0.529162400000132,16.198654600000737,None,,,,,,,,,,,,,,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_028_TOOL28_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16.991798900000504,None,16.991798900000504,None,1,19.953127500000846,19.953127500000846,20.445644400000674,None,2,0.5712449999991804,20.445644400000674,None,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_026_TOOL26_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,22.56420480000088,22.56420480000088,23.06084759999976,22.56420480000088,2,0.41778050000175426,23.06084759999976,22.56420480000088,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_025_TOOL25_BA.png,target,target,Tools,0-Back,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,0,25.06370059999972,25.06370059999972,25.559414499999548,25.06370059999972,2,0.2857672000009188,25.559414499999548,25.06370059999972,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_026_TOOL26_BA.png,lure,nontarget,Tools,0-Back,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,27.56158669999968,27.56158669999968,28.058470800000578,27.56158669999968,2,0.2735438999989128,28.058470800000578,27.56158669999968,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_030_TOOL30_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,30.165972599999805,30.165972599999805,30.656438800000615,30.165972599999805,2,1.9043415999985882,30.656438800000615,30.165972599999805,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_025_TOOL25_BA.png,target,target,Tools,0-Back,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,0,32.65874350000013,32.65874350000013,33.15520020000076,32.65874350000013,2,1.733652599999914,33.15520020000076,32.65874350000013,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_027_TOOL27_BA.png,nonlure,nontarget,Tools,0-Back,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,35.17596869999943,35.17596869999943,35.670427400000335,35.17596869999943,2,1.891692499999408,35.670427400000335,35.17596869999943,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
3,1,1,TO_030_TOOL30_BA.png,lure,nontarget,Tools,0-Back,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,37.67088599999988,37.67088599999988,38.16903920000004,37.67088599999988,2,1.8057109999990644,38.16903920000004,37.67088599999988,,,,,,,Jocelyn_personal,001,2024_Feb_19_1720,nback-master,2021.1.4,60.081999913394995,
