Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,target.started,prep_instr.stopped,target.stopped,stim_trial_fixation.started,stim_trial_fixation.stopped,image.started,key_resp.started,image.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.rt,key_resp.duration,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,2,1,BP_043_MLBAS_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,60.54671139991842,61.016118299914524,61.016118299914524,61.016118299914524,63.107547299936414,63.107547299936414,1,2,0.7793572000227869,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_041_FRPUI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,63.107547299936414,63.57617860008031,63.57617860008031,63.57617860008031,65.66730510001071,65.66730510001071,0,1,0.2677650998812169,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_042_MBBHS_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,65.66730510001071,66.1363035000395,66.1363035000395,66.1363035000395,68.13513340009376,68.13513340009376,1,2,0.0879509998485446,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_043_MLBAS_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,68.13513340009376,68.62963990005665,68.62963990005665,68.62963990005665,70.62459310004488,70.62459310004488,1,2,1.8709093001671135,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_042_MBBHS_BA.png,target,target,Body,2-Back,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,70.62459310004488,71.12316099996679,71.12316099996679,71.12316099996679,73.11765370005742,73.11765370005742,0,2,1.7309697000309825,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_041_FRPUI_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,73.11765370005742,73.61664499994367,73.61664499994367,73.61664499994367,75.71271759993397,75.71271759993397,1,2,0.8382530000526458,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,2,1,BP_039_FRCHI_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,75.71271759993397,76.19300729990937,76.19300729990937,76.19300729990937,78.18758790008724,78.18758790008724,0,1,1.5546524999663234,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.18758790008724,93.2691001999192,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,93.2691001999192,93.2691001999192,95.83620069990866,95.83620069990866,95.83620069990866,96.3070704001002,96.3070704001002,96.3070704001002,98.30150460009463,98.30150460009463,1,1,1.8953452999703586,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
4,3,1,TO_037_TOOL37_BA.png,target,target,Tools,0-Back,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,98.30150460009463,98.80038690008223,98.80038690008223,98.80038690008223,100.795443699928,100.795443699928,1,1,1.94774299999699,None,,,,,,,Jocelyn_ZB216,001,2024-02-20_14h35.12.699,nback-master,2023.1.3,60.12506018151383,
