run,block,block_type,stim_type,stimulus,target,corr_ans,stim_onset,stim_offset,stim_duration,iti_onset,iti_offset,iti_duration,key_resp,key_resp_rt,corr_var,instr_onset,instr_offset,instr_duration,rest_onset,rest_offset,rest_duration
4,1,0-Back,Face,FC_040_F20.png,nontarget,2,36.08823150000535,38.58101349999197,2.4927819999866188,35.589010299998336,36.08823150000535,0.499221200007014,2.0,1.3390758999739774,1,33.12113149999641,35.589010299998336,2.4678788000019267,None,None,None
4,1,0-Back,Face,FC_041_M21.png,nontarget,2,39.079808500013314,41.5731620999868,2.4933535999734886,38.58101349999197,39.079808500013314,0.4987950000213459,2.0,0.501431800017599,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_038_F19.png,nontarget,2,42.07215469999937,44.5650381000014,2.492883400002029,41.5731620999868,42.07215469999937,0.4989926000125706,2.0,0.7412273999652825,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_040_F20.png,nontarget,2,45.06391630001599,47.55755939998198,2.4936430999659933,44.5650381000014,45.06391630001599,0.4988782000145875,1.0,0.9209215000155382,0,None,None,None,None,None,None
4,1,0-Back,Face,FC_039_M20.png,nontarget,2,48.05671139998594,50.54958980000811,2.492878400022164,47.55755939998198,48.05671139998594,0.49915200000396,2.0,0.6832254999899305,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_037_M19.png,target,1,51.04846109997016,53.54163589997916,2.493174800009001,50.54958980000811,51.04846109997016,0.4988712999620546,1.0,1.5975552999880165,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_038_F19.png,nontarget,2,54.0405388000072,56.53362259996357,2.4930837999563735,53.54163589997916,54.0405388000072,0.4989029000280354,2.0,0.9076132000191136,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_042_F21.png,nontarget,2,57.03255349997198,59.52580579998903,2.4932523000170477,56.53362259996357,57.03255349997198,0.49893090000841056,1.0,1.3592521999962628,0,None,None,None,None,None,None
4,1,0-Back,Face,FC_041_M21.png,nontarget,2,60.02494550001575,62.51824679999845,2.4933012999827042,59.52580579998903,60.02494550001575,0.49913970002671704,2.0,0.7176392000401393,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_037_M19.png,target,1,63.01722879998852,65.56421169999521,2.5469829000066895,62.51824679999845,63.01722879998852,0.49898199999007176,1.0,0.818963999976404,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_038_FRBHI_BA.png,nontarget,2,148.37659950001398,150.86984569998458,2.4932461999705993,147.87762340001063,148.37659950001398,0.4989761000033468,2.0,2.146115000010468,1,145.4139079999877,147.87762340001063,2.46371540002292,None,None,None
4,2,2-Back,Body,BP_040_FRCHS_BA.png,nontarget,2,151.36849650001386,153.8619139000075,2.493417399993632,150.86984569998458,151.36849650001386,0.4986508000292815,2.0,1.510871300008148,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_038_FRBHI_BA.png,target,1,154.36068450001767,156.8536260999972,2.492941599979531,153.8619139000075,154.36068450001767,0.49877060001017526,2.0,1.075010500033386,0,None,None,None,None,None,None
4,2,2-Back,Body,BP_043_MLBAS_BA.png,nontarget,2,157.3531564999721,159.84589990001405,2.4927434000419453,156.8536260999972,157.3531564999721,0.49953039997490123,2.0,1.3045812000054866,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_041_FRPUI_BA.png,nontarget,2,160.34478089999175,162.83804309996776,2.493262199976016,159.84589990001405,160.34478089999175,0.4988809999777004,2.0,1.2982751000090502,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_042_MBBHS_BA.png,nontarget,2,163.3375129000051,165.83045489998767,2.492941999982577,162.83804309996776,163.3375129000051,0.4994698000373319,2.0,0.9161842999747024,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_043_MLBAS_BA.png,nontarget,2,166.32950859999983,168.8223003000021,2.4927917000022717,165.83045489998767,166.32950859999983,0.4990537000121549,2.0,0.6666850000037812,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_042_MBBHS_BA.png,target,1,169.321341199975,171.81442169996444,2.4930804999894463,168.8223003000021,169.321341199975,0.499040899972897,2.0,0.9166594999842346,0,None,None,None,None,None,None
4,2,2-Back,Body,BP_041_FRPUI_BA.png,nontarget,2,172.3135682999855,174.8066576999845,2.4930893999990076,171.81442169996444,172.3135682999855,0.4991466000210494,1.0,1.283974199963268,0,None,None,None,None,None,None
4,2,2-Back,Body,BP_039_FRCHI_BA.png,nontarget,2,175.30592850001997,177.79900389997056,2.493075399950584,174.8066576999845,175.30592850001997,0.4992708000354753,1.0,1.4716745000332594,0,None,None,None,177.79900389997056,192.82614770001965,15.027143800049089
4,3,0-Back,Tools,TO_037_TOOL37_BA.png,target,1,195.801992099965,198.2948928999831,2.4929008000181057,195.3032163999742,195.801992099965,0.4987756999908015,2.0,0.7759640000294894,0,192.82614770001965,195.3032163999742,2.4770686999545433,None,None,None
4,3,0-Back,Tools,TO_037_TOOL37_BA.png,target,1,198.7944339999813,201.28737550001824,2.492941500036949,198.2948928999831,198.7944339999813,0.49954109999819707,2.0,0.5999692000332288,0,None,None,None,None,None,None
4,3,0-Back,Tools,TO_042_TOOL42_BA.png,nontarget,2,201.7860905000125,204.27926129999105,2.493170799978543,201.28737550001824,201.7860905000125,0.49871499999426305,1.0,1.1011766000301575,0,None,None,None,None,None,None
4,3,0-Back,Tools,TO_038_TOOL38_BA.png,nontarget,2,204.77868639997905,207.2717575000133,2.493071100034257,204.27926129999105,204.77868639997905,0.49942509998800233,2.0,0.8383865000214428,1,None,None,None,None,None,None
