13.7248 	EXP 	Created feedback_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Songti SC', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='feedback_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.7439 	EXP 	Created thank_you = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank_you', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
13.7747 	EXP 	instructions: autoDraw = True
20.0815 	DATA 	Keypress: f
20.0870 	EXP 	instructions: autoDraw = False
20.0870 	EXP 	example_text: autoDraw = True
20.0870 	EXP 	example_image: autoDraw = True
20.0870 	EXP 	example_text_2: autoDraw = True
29.8937 	EXP 	Created sequence: random, trialTypes=1, nReps=80, seed=None
29.8942 	EXP 	New trial (rep=0, index=0): None
29.9331 	EXP 	Imported cards.xlsx as conditions, 64 conditions, 4 params
29.9335 	EXP 	Created sequence: random, trialTypes=64, nReps=1, seed=None
29.9338 	EXP 	New trial (rep=0, index=0): {'cond': 2, 'rule': 'number', 'card': 'images/1blueCross.jpg', 'corrAns': 'f'}
29.9380 	DATA 	Keypress: f
29.9420 	EXP 	example_text: autoDraw = False
29.9420 	EXP 	example_image: autoDraw = False
29.9420 	EXP 	example_text_2: autoDraw = False
29.9420 	EXP 	fixation: autoDraw = True
33.5706 	EXP 	fixation: autoDraw = False
33.5706 	EXP 	fixation: autoDraw = False
33.5706 	EXP 	trial_card: image = 'images/1blueCross.jpg'
33.5706 	EXP 	one_red_dot: autoDraw = True
33.5706 	EXP 	two_yellow_triangles: autoDraw = True
33.5706 	EXP 	three_green_crosses: autoDraw = True
33.5706 	EXP 	four_blue_stars: autoDraw = True
33.5706 	EXP 	trial_card: autoDraw = True
35.9739 	DATA 	Keypress: f
35.9776 	EXP 	one_red_dot: autoDraw = False
35.9776 	EXP 	two_yellow_triangles: autoDraw = False
35.9776 	EXP 	three_green_crosses: autoDraw = False
35.9776 	EXP 	four_blue_stars: autoDraw = False
35.9776 	EXP 	trial_card: autoDraw = False
35.9776 	EXP 	feedback_text: text = '正確'
35.9776 	EXP 	feedback_text: autoDraw = True
36.9724 	EXP 	New trial (rep=0, index=1): {'cond': 2, 'rule': 'number', 'card': 'images/1redStar.jpg', 'corrAns': 'f'}
36.9860 	EXP 	feedback_text: autoDraw = False
36.9860 	EXP 	feedback_text: autoDraw = False
