run,block,block_type,stim_type,stimulus,target,corr_ans,iti_onset,iti_offset,iti_duration,stim_onset,stim_offset,stim_duration,key_resp,key_resp_rt,corr_var,instr_onset,instr_offset,instr_duration,rest_onset,rest_offset,rest_duration
4,1,0-Back,Face,FC_040_F20.png,nontarget,2,23.668488099996463,24.167340599989984,0.49885249999352155,24.167340599989984,26.66058869997505,2.493248099985067,2.0,0.4980782000347972,1,21.198208699992392,23.668488099996463,2.4702794000040704,None,None,None
4,1,0-Back,Face,FC_041_M21.png,nontarget,2,26.66058869997505,27.1598480999819,0.4992594000068493,27.1598480999819,29.65278840000974,2.49294030002784,2.0,0.8972687000059523,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_038_F19.png,nontarget,2,29.65278840000974,30.151956299960148,0.49916789995040745,30.151956299960148,32.6454147999757,2.4934585000155494,2.0,0.7535046999691986,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_040_F20.png,nontarget,2,32.6454147999757,33.1440393999801,0.4986246000044048,33.1440393999801,35.637387899972964,2.4933484999928623,2.0,0.7734040000359528,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_039_M20.png,nontarget,2,35.637387899972964,36.13600549998228,0.4986176000093181,36.13600549998228,38.62915659998544,2.4931511000031605,2.0,0.7453987999469973,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_037_M19.png,target,1,38.62915659998544,39.12855809996836,0.49940149998291616,39.12855809996836,41.62168529996416,2.4931271999958042,1.0,0.8764154999516904,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_038_F19.png,nontarget,2,41.62168529996416,42.120919100008905,0.4992338000447418,42.120919100008905,44.61402599996654,2.4931068999576382,1.0,0.8575648999540135,0,None,None,None,None,None,None
4,1,0-Back,Face,FC_042_F21.png,nontarget,2,44.61402599996654,45.11277249996783,0.49874650000128895,45.11277249996783,47.6057165999664,2.4929440999985673,2.0,0.8573267999454401,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_041_M21.png,nontarget,2,47.6057165999664,48.10495249996893,0.4992359000025317,48.10495249996893,50.59786119998898,2.4929087000200454,2.0,1.21032270003343,1,None,None,None,None,None,None
4,1,0-Back,Face,FC_037_M19.png,target,1,50.59786119998898,51.09716740000295,0.49930620001397585,51.09716740000295,53.64300509996247,2.5458376999595203,2.0,0.7313448999775574,0,None,None,None,None,None,None
4,2,2-Back,Body,BP_038_FRBHI_BA.png,nontarget,2,56.116873599996325,56.61567309999373,0.4987994999974035,56.61567309999373,59.1087806999567,2.4931075999629684,nan,nan,0,53.64300509996247,56.116873599996325,2.473868500033852,None,None,None
4,2,2-Back,Body,BP_040_FRCHS_BA.png,nontarget,2,59.1087806999567,59.60790010000346,0.4991194000467658,59.60790010000346,62.10110019997228,2.493200099968817,2.0,0.6858857999905013,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_038_FRBHI_BA.png,target,1,62.10110019997228,62.60010909999255,0.49900890002027154,62.60010909999255,65.09333279996645,2.493223699973896,1.0,1.1468094000010751,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_043_MLBAS_BA.png,nontarget,2,65.09333279996645,65.59270999999717,0.4993772000307217,65.59270999999717,68.08521879999898,2.492508800001815,2.0,1.128240399993956,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_041_FRPUI_BA.png,nontarget,2,68.08521879999898,68.5842197999591,0.49900099996011704,68.5842197999591,71.0773888999829,2.493169100023806,2.0,1.1328486999846064,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_042_MBBHS_BA.png,nontarget,2,71.0773888999829,71.57676269998774,0.49937380000483245,71.57676269998774,74.06978570000501,2.493023000017274,2.0,0.8436953999917023,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_043_MLBAS_BA.png,nontarget,2,74.06978570000501,74.56869359995471,0.49890789994969964,74.56869359995471,77.06207859999267,2.4933850000379607,1.0,0.9654785000020638,0,None,None,None,None,None,None
4,2,2-Back,Body,BP_042_MBBHS_BA.png,target,1,77.06207859999267,77.56118640000932,0.49910780001664534,77.56118640000932,80.05432679998921,2.493140399979893,1.0,0.9225887999637052,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_041_FRPUI_BA.png,nontarget,2,80.05432679998921,80.55337839998538,0.49905159999616444,80.55337839998538,83.04622779996134,2.4928493999759667,2.0,0.7137248000362888,1,None,None,None,None,None,None
4,2,2-Back,Body,BP_039_FRCHI_BA.png,nontarget,2,83.04622779996134,83.54524429998128,0.49901650001993403,83.54524429998128,86.03860379999969,2.493359500018414,2.0,0.9791638000169768,1,None,None,None,86.03860379999969,101.05436969996664,15.01576589996695
4,3,0-Back,Tools,TO_037_TOOL37_BA.png,target,1,103.52587979997044,104.02484329999425,0.4989635000238053,104.02484329999425,106.5182238999987,2.493380600004457,1.0,1.0622625999967568,1,101.05436969996664,103.52587979997044,2.4715101000037976,None,None,None
4,3,0-Back,Tools,TO_037_TOOL37_BA.png,target,1,106.5182238999987,107.01707549998537,0.49885159998666495,107.01707549998537,109.50995609996608,2.492880599980708,1.0,0.5852198000065982,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_042_TOOL42_BA.png,nontarget,2,109.50995609996608,110.00898799998686,0.4990319000207819,110.00898799998686,112.50228769995738,2.493299699970521,2.0,0.5244076999952085,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_038_TOOL38_BA.png,nontarget,2,112.50228769995738,113.00117820000742,0.4988905000500381,113.00117820000742,115.49454280000646,2.4933645999990404,2.0,0.5753376000211574,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_040_TOOL40_BA.png,nontarget,2,115.49454280000646,115.99316949996864,0.49862669996218756,115.99316949996864,118.48656170000322,2.4933922000345774,2.0,0.4806509999907575,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_039_TOOL39_BA.png,nontarget,2,118.48656170000322,118.98569110000972,0.4991294000064954,118.98569110000972,121.47876510000788,2.4930739999981597,2.0,0.4856201999937184,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_041_TOOL41_BA.png,nontarget,2,121.47876510000788,121.97780519997468,0.49904009996680543,121.97780519997468,124.47086840000702,2.4930632000323385,2.0,0.4109229000168852,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_040_TOOL40_BA.png,nontarget,2,124.47086840000702,124.9698717999854,0.4990033999783776,124.9698717999854,127.46279550000328,2.492923700017883,2.0,0.438722199993208,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_041_TOOL41_BA.png,nontarget,2,127.46279550000328,127.9617208999698,0.49892539996652374,127.9617208999698,130.45531049999408,2.493589600024279,2.0,0.5861347999889404,1,None,None,None,None,None,None
4,3,0-Back,Tools,TO_038_TOOL38_BA.png,nontarget,2,130.45531049999408,130.9540012999787,0.4986907999846153,130.9540012999787,133.49524699995527,2.541245699976571,2.0,0.3770886000129394,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_043_LEXINGTON19.png,nontarget,2,135.95752789999824,136.45615419995738,0.49862629995914176,136.45615419995738,138.94926979998127,2.4931156000238843,2.0,1.032003899978008,1,133.49524699995527,135.95752789999824,2.4622809000429697,None,None,None
4,4,2-Back,Place,PL_043_LEXINGTON19.png,nontarget,2,138.94926979998127,139.44876790000126,0.4994981000199914,139.44876790000126,141.94202929997118,2.4932613999699242,2.0,0.8074746999773197,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_044_SCENE01.png,nontarget,2,141.94202929997118,142.44048269995255,0.49845339998137206,142.44048269995255,144.93409449997125,2.493611800018698,2.0,0.9932215999579056,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_044_SCENE01.png,nontarget,2,144.93409449997125,145.43270519998623,0.49861070001497865,145.43270519998623,147.92603779997444,2.493332599988207,2.0,1.0964044000138529,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_042_LEXINGTON18.png,nontarget,2,147.92603779997444,148.4252303999965,0.4991926000220701,148.4252303999965,150.9183327999781,2.4931023999815807,2.0,0.8268319999915548,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_040_LEXINGTON16.png,nontarget,2,150.9183327999781,151.41685869998764,0.4985259000095539,151.41685869998764,153.91043609997723,2.49357739998959,2.0,0.8065485000261106,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_041_LEXINGTON17.png,nontarget,2,153.91043609997723,154.4089793000021,0.4985432000248693,154.4089793000021,156.9022602000041,2.4932809000019915,2.0,0.7104434999637306,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_039_LEXINGTON06.png,nontarget,2,156.9022602000041,157.4016862999997,0.4994260999956168,157.4016862999997,159.8942707999959,2.492584499996184,2.0,0.8588219999801368,1,None,None,None,None,None,None
4,4,2-Back,Place,PL_041_LEXINGTON17.png,target,1,159.8942707999959,160.39389239996672,0.49962159997082267,160.39389239996672,162.88646429998334,2.492571900016628,2.0,0.8181092999875546,0,None,None,None,None,None,None
4,4,2-Back,Place,PL_039_LEXINGTON06.png,target,1,162.88646429998334,163.38545209995937,0.49898779997602105,163.38545209995937,165.8792135999538,2.4937614999944344,2.0,1.1077629000064917,0,None,None,None,165.8792135999538,180.90752879995853,15.028315200004727
4,5,0-Back,Body,BP_049_MRBAI_BA.png,nontarget,2,183.38300049997636,183.8818634999916,0.4988630000152341,183.8818634999916,186.37499729997944,2.493133799987845,2.0,1.0884557000244968,1,180.90752879995853,183.38300049997636,2.4754717000178346,None,None,None
4,5,0-Back,Body,BP_047_MLBHS_BA.png,nontarget,2,186.37499729997944,186.8743223999627,0.4993250999832526,186.8743223999627,189.36741770000663,2.493095300043933,2.0,0.7396532999700867,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_045_MLBFS_BA.png,nontarget,2,189.36741770000663,189.8660146999755,0.49859699996886775,189.8660146999755,192.359235299984,2.493220600008499,1.0,0.8021244000410661,0,None,None,None,None,None,None
4,5,0-Back,Body,BP_048_MLCHS_BA.png,nontarget,2,192.359235299984,192.8586343000061,0.4993990000220947,192.8586343000061,195.3515759999864,2.492941699980321,2.0,0.4418283000122756,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_044_MLBFI_BA.png,target,1,195.3515759999864,195.85061799996765,0.49904199998124454,195.85061799996765,198.3432984999963,2.492680500028655,2.0,1.0867810000199825,0,None,None,None,None,None,None
4,5,0-Back,Body,BP_048_MLCHS_BA.png,nontarget,2,198.3432984999963,198.8423921999638,0.49909369996748865,198.8423921999638,201.33527270000195,2.4928805000381544,2.0,0.819705999980215,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_044_MLBFI_BA.png,target,1,201.33527270000195,201.83423439995383,0.49896169995187734,201.83423439995383,204.3272621000069,2.4930277000530623,1.0,0.8005359999951907,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_047_MLBHS_BA.png,nontarget,2,204.3272621000069,204.82625639997423,0.498994299967336,204.82625639997423,207.3194245999912,2.4931682000169815,2.0,0.5905174000072293,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_049_MRBAI_BA.png,nontarget,2,207.3194245999912,207.81836239999396,0.49893780000275,207.81836239999396,210.3118506000028,2.4934882000088407,2.0,0.5637984999921173,1,None,None,None,None,None,None
4,5,0-Back,Body,BP_046_MLBHI_BA.png,nontarget,2,210.3118506000028,210.81066729995652,0.49881669995372135,210.81066729995652,213.35450929997023,2.5438420000137114,2.0,0.6047267999965698,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_048_SCENE05.png,nontarget,2,215.8305572999525,216.3294374999823,0.4988802000298165,216.3294374999823,218.8226525000064,2.493215000024094,2.0,0.6395007999963127,1,213.35450929997023,215.8305572999525,2.4760479999822564,None,None,None
4,6,0-Back,Place,PL_046_SCENE03.png,nontarget,2,218.8226525000064,219.32159979996504,0.49894729995864395,219.32159979996504,221.81489879998844,2.4932990000233985,2.0,0.5335640999837779,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_045_SCENE02.png,target,1,221.81489879998844,222.31389049999416,0.4989917000057176,222.31389049999416,224.80707949999487,2.4931890000007115,1.0,0.8310090000159107,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_045_SCENE02.png,target,1,224.80707949999487,225.30597950000083,0.49890000000596046,225.30597950000083,227.79919609997887,2.493216599978041,1.0,0.6147472999873571,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_046_SCENE03.png,nontarget,2,227.79919609997887,228.2979432999855,0.4987472000066191,228.2979432999855,230.79127339995463,2.4933300999691426,2.0,0.4198995999759063,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_049_SCENE06.png,nontarget,2,230.79127339995463,231.2900784999947,0.49880510004007306,231.2900784999947,233.7835818000021,2.4935033000074043,2.0,0.4716457999893464,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_047_SCENE04.png,nontarget,2,233.7835818000021,234.28248059999896,0.4988987999968515,234.28248059999896,236.7755796999554,2.4930990999564244,2.0,0.654259099974297,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_048_SCENE05.png,nontarget,2,236.7755796999554,237.2745323999552,0.49895269999981906,237.2745323999552,239.76770729996497,2.4931749000097625,2.0,0.557262799993623,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_050_SCENE07.png,nontarget,2,239.76770729996497,240.2667114000069,0.49900410004192963,240.2667114000069,242.75979889999144,2.49308749998454,2.0,0.4863491000141948,1,None,None,None,None,None,None
4,6,0-Back,Place,PL_047_SCENE04.png,nontarget,2,242.75979889999144,243.25867239997024,0.4988734999787994,243.25867239997024,245.75211959995795,2.4934471999877132,2.0,0.6712728000129573,1,None,None,None,245.75211959995795,260.8175638999673,15.065444300009347
4,7,2-Back,Face,FC_044_F22.png,nontarget,2,263.2899716999964,263.788764900004,0.4987932000076398,263.788764900004,266.28197299997555,2.4932080999715254,2.0,0.5815375999663956,1,260.8175638999673,263.2899716999964,2.4724078000290888,None,None,None
4,7,2-Back,Face,FC_046_F23.png,nontarget,2,266.28197299997555,266.7812856999808,0.4993127000052482,266.7812856999808,269.2737655999954,2.4924799000145867,2.0,0.788427599996794,1,None,None,None,None,None,None
4,7,2-Back,Face,FC_044_F22.png,target,1,269.2737655999954,269.77293589996407,0.49917029996868223,269.77293589996407,272.2664243999752,2.4934885000111535,1.0,0.7612754999427125,1,None,None,None,None,None,None
4,7,2-Back,Face,FC_046_F23.png,target,1,272.2664243999752,272.7651305999607,0.49870619998546317,272.7651305999607,275.2581966999569,2.493066099996213,1.0,0.743306299962569,1,None,None,None,None,None,None
4,7,2-Back,Face,FC_043_M22.png,nontarget,2,275.2581966999569,275.75763309997274,0.49943640001583844,275.75763309997274,278.2509935999988,2.4933605000260854,2.0,0.7233445999445394,1,None,None,None,None,None,None
