cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,corr_var,clock_digital.started,clock_digital.stopped,direction_txt.started,direction_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,8,55,左上,1,1,1,0,1,0,0,7,7,0,,,,,,,,,,,,,,,,,36,0,105.43700440000976,None,105.54431610001484,None,None,0,,105.54431610001484,None,107.94282779999776,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,10,3,右上,1,1,1,0,1,0,0,8,8,1,,,,,,,,,,,,,,,,,65,0,108.44753130001482,None,108.54272510000737,None,None,0,,108.54272510000737,None,110.94110910000745,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,10,36,左下,1,1,1,0,1,0,0,9,9,7,,,,,,,,,,,,,,,,,40,0,111.45398990000831,None,111.55759730003774,None,None,0,,111.55759730003774,None,None,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.9560794000281,None,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,18,14,右上,1,1,2,0,2,0,0,0,0,9,,,,,,,,,,,,,143.97309640003368,145.9720309000113,145.9720309000113,None,11,0,146.49753839999903,None,146.5877398000448,None,2,0,1.732239299977664,146.5877398000448,None,148.98646280000685,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,14,20,右下,1,1,2,0,2,0,0,1,1,8,,,,,,,,,,,,,,,,,50,1,149.49477770004887,None,149.586225200037,None,1,1,1.3789986000047065,149.586225200037,None,151.9847328000469,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,10,28,右下,1,1,2,0,2,0,0,2,2,0,,,,,,,,,,,,,,,,,87,1,152.48633060004795,None,152.58455170004163,None,1,1,1.9950885999714956,152.58455170004163,None,154.98301870003343,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,19,10,左下,0,2,2,0,2,0,0,3,3,6,,,,,,,,,,,,,,,,,62,1,155.49136700003874,None,155.58312970004044,None,2,1,1.3916923999786377,155.58312970004044,None,157.98141150001902,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,10,48,左下,0,2,2,0,2,0,0,4,4,1,,,,,,,,,,,,,,,,,66,1,158.48776660003932,None,158.58105979999527,None,2,1,1.8314145000185817,158.58105979999527,None,160.97974440001417,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,15,22,左上,0,2,2,0,2,0,0,5,5,3,,,,,,,,,,,,,,,,,20,0,161.48870670003816,None,161.5965145000373,None,None,0,,161.5965145000373,None,163.99460030003684,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,17,29,左下,0,2,2,0,2,0,0,6,6,4,,,,,,,,,,,,,,,,,69,1,164.50047280004947,None,164.59471520001534,None,2,1,1.9502006000257097,164.59471520001534,None,166.99300360004418,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,16,47,左上,1,1,2,0,2,0,0,7,7,5,,,,,,,,,,,,,,,,,43,1,167.49845910002477,None,167.59321720001753,None,1,1,1.9236159999854863,167.59321720001753,None,169.99128190003103,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
1,16,36,左下,1,1,2,0,2,0,0,8,8,7,,,,,,,,,,,,,,,,,38,0,170.5010636000079,None,170.59063760004938,None,2,0,1.875485899974592,170.59063760004938,None,172.98917509999592,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
2,15,41,右下,0,2,2,0,2,0,0,9,9,2,,,,,,,,,,,,,,,,,21,1,173.48907280003186,None,173.58872360002715,None,2,1,2.326364399981685,173.58872360002715,None,None,None,,,Gianna_personal,001,2024_Feb_23_1132,clock-master,2021.1.4,59.527352823161166,
