cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
2,19,18,左上,0,2,1,0,1,0,0,0,0,0,,,,,,,,,,,83.56826420000289,85.56244040001184,85.56244040001184,86.0660399000044,94,86.0660399000044,86.16108440002427,86.16108440002427,88.55481449997751,88.55481449997751,88.55481449997751,1,2,1,1.7550056000472978,None,88.55481449997751,89.05402330000652,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,11,39,左上,0,2,1,0,1,0,0,1,1,6,,,,,,,,,,,,,,,57,89.05402330000652,89.15379379998194,89.15379379998194,91.54715659999056,91.54715659999056,91.54715659999056,0,None,0,,,91.54715659999056,92.04553369997302,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,7,25,右下,1,1,1,0,1,0,0,2,2,5,,,,,,,,,,,,,,,84,92.04553369997302,92.14581909996923,92.14581909996923,94.53908439999213,94.53908439999213,94.53908439999213,1,1,1,1.7086659999913536,None,94.53908439999213,95.038048300019,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,19,10,左下,0,2,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,12,95.038048300019,95.13784709997708,95.13784709997708,97.5312116999994,97.5312116999994,97.5312116999994,1,2,1,1.5519619000260718,None,97.5312116999994,98.02985430002445,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,8,20,右下,1,1,1,0,1,0,0,4,4,8,,,,,,,,,,,,,,,69,98.02985430002445,98.12995239999145,98.12995239999145,100.52328999998281,100.52328999998281,100.52328999998281,1,1,1,1.7711798999807797,None,100.52328999998281,101.02213060000213,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,18,14,右上,1,1,1,0,1,0,0,5,5,7,,,,,,,,,,,,,,,0,101.02213060000213,101.12210390000837,101.12210390000837,103.51551609998569,103.51551609998569,103.51551609998569,1,1,1,1.7273338999948464,None,103.51551609998569,104.0146090000053,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,13,12,左下,0,2,1,0,1,0,0,6,6,1,,,,,,,,,,,,,,,80,104.0146090000053,104.1142894999939,104.1142894999939,106.50759970000945,106.50759970000945,106.50759970000945,1,2,1,1.4380249999812804,None,106.50759970000945,107.00630960002309,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,10,35,左下,1,1,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,21,107.00630960002309,107.10649669996928,107.10649669996928,109.50013910001144,109.50013910001144,109.50013910001144,0,None,0,,,109.50013910001144,109.99889300001087,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
2,13,57,右下,0,2,1,0,1,0,0,8,8,2,,,,,,,,,,,,,,,4,109.99889300001087,110.0985948999878,110.0985948999878,112.49233939999249,112.49233939999249,112.49233939999249,0,None,0,,,112.49233939999249,112.99107899999944,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
1,16,35,左下,1,1,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,19,112.99107899999944,113.09097830002429,113.09097830002429,115.48442280001473,115.48442280001473,115.48442280001473,0,None,0,,,,,,,,,,,,Sabrina_ZB216,001,2024-02-27_16h34.31.718,clock-master,2023.1.3,60.13149555471856,
