cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_txt.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,instr_txt.started,instr_txt.stopped,prepared_resp.keys,prepared_resp.rt,prepared_resp.started,prepared_resp.stopped,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,corr_var,clock_digital.started,clock_digital.stopped,direction_txt.started,direction_txt.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,14.016372499987483,None,s,1.3218093999894336,14.016372499987483,None,,,,,,,,,,,,,,,,,,,,,,,,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
,,,,,,,,,,,,,,,,,,,,15.359895800007507,None,1,2.6661699999822304,15.359895800007507,None,,,,,,,,,,,,,,,,,,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,16,5,右上,1,1,0,0,0,0,0,0,0,5,,,,,,,,,,,,,18.041916300018784,20.040970499976538,20.040970499976538,None,95,0,20.598071999964304,None,20.690333599981386,None,2,0,2.1473050999920815,20.690333599981386,None,23.089190099970438,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,16,23,右下,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,18,0,23.59597909997683,None,23.68878440000117,None,2,0,2.29277269996237,23.68878440000117,None,26.087373899994418,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,16,24,右下,1,1,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,90,0,26.587117399962153,None,26.687052899971604,None,None,0,,26.687052899971604,None,29.08572789997561,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,17,49,左下,0,2,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,34,0,29.59037210000679,None,29.68535939999856,None,1,0,1.9538891999982297,29.68535939999856,None,32.08396099996753,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,11,50,右上,0,2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,76,1,32.58433879999211,None,32.68369019997772,None,2,1,1.7981679000076838,32.68369019997772,None,35.082185600011144,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,19,55,右下,0,2,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,17,1,35.582213399989996,None,35.681894599983934,None,2,1,2.175778800039552,35.681894599983934,None,38.080536199966446,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,11,38,左上,0,2,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,42,0,38.58198049996281,None,38.680214799998794,None,None,0,,38.680214799998794,None,41.07883050001692,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,7,26,右下,1,1,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,56,0,41.578612399986014,None,41.6784746000194,None,2,0,1.949787700024899,41.6784746000194,None,44.077195399964694,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,10,17,右下,1,1,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,24,1,44.57690719998209,None,44.676855199970305,None,1,1,2.058786500012502,44.676855199970305,None,47.07554089999758,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,11,40,右下,0,2,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,54,1,47.57497489999514,None,47.674880300008226,None,2,1,1.7609290999826044,47.674880300008226,None,None,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07407119998243,None,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,15,9,右下,0,2,1,0,1,0,0,0,0,9,,,,,,,,,,,,,80.09112629998708,82.09034449997125,82.09034449997125,None,71,0,82.62532260001171,None,82.72306210000534,None,None,0,,82.72306210000534,None,85.12153010000475,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,9,14,右上,1,1,1,0,1,0,0,1,1,6,,,,,,,,,,,,,,,,,12,0,85.63024500000756,None,85.72132189996773,None,None,0,,85.72132189996773,None,88.11973849998321,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,19,54,右下,0,2,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,32,0,88.62159200001042,None,88.72003799997037,None,None,0,,88.72003799997037,None,91.11808169999858,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,8,38,左下,1,1,1,0,1,0,0,3,3,8,,,,,,,,,,,,,,,,,55,0,91.62814179999987,None,91.73477779998211,None,None,0,,91.73477779998211,None,94.13315030001104,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,9,48,左下,1,1,1,0,1,0,0,4,4,5,,,,,,,,,,,,,,,,,69,0,94.63757550000446,None,94.73299839999527,None,None,0,,94.73299839999527,None,97.1314709999715,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,19,10,左下,0,2,1,0,1,0,0,5,5,4,,,,,,,,,,,,,,,,,8,0,97.63398290000623,None,97.7314976999769,None,None,0,,97.7314976999769,None,100.12972889997764,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,13,32,左上,0,2,1,0,1,0,0,6,6,7,,,,,,,,,,,,,,,,,31,0,100.63695299997926,None,100.72975100000622,None,None,0,,100.72975100000622,None,103.12800679996144,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
2,11,49,右下,0,2,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,,,83,0,103.63409020000836,None,103.72815149999224,None,None,0,,103.72815149999224,None,106.12645709997742,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,9,49,左下,1,1,1,0,1,0,0,8,8,2,,,,,,,,,,,,,,,,,27,0,106.6338649999816,None,106.72606259997701,None,None,0,,106.72606259997701,None,109.12475780001841,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
1,10,35,左下,1,1,1,0,1,0,0,9,9,1,,,,,,,,,,,,,,,,,61,0,109.62818499997957,None,109.72466920001898,None,None,0,,109.72466920001898,None,None,None,,,Sabrina_personal,001,2024_Feb_23_1035,clock-master,2021.1.4,60.01010570190295,
