cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,use_rows,clock_digital.started,direction_txt.started,key_resp.started,corr_var,key_resp.keys,key_resp.corr,trial_fixation.started,(iti duration),(stim duration),direction_txt.stopped,key_resp.stopped,key_resp.rt,key_resp.duration,rest_txt.started,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,18,44,左下,1,1,1,0,1,0,0,7,7,7,,,,,,,,,,,,23,119.9578444,120.0411355,120.0411355,1,1,1,119.4570946,0.5007498,2.5029159,,,1.9509147,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,17,44,左上,0,2,1,0,1,0,0,8,8,0,,,,,,,,,,,,63,122.9446403,123.0280558,123.0280558,0,None,0,122.4443072,0.5003331,2.4864628,125.430786,125.430786,,,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,9,49,左下,1,1,1,0,1,0,0,9,9,9,,,,,,,,,,,,32,125.9585177,126.0318192,126.0318192,0,2,0,125.4474725,0.5110452,2.5028322,128.4342584,128.4342584,1.6323292,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,-125.9585177,,,,,128.4509712,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,14,43,左下,1,1,2,0,2,0,0,0,0,0,,,,,,,,,,,158.452249,39,160.9550761,161.0384823,161.0384823,1,1,1,160.4738279,0.4812482,160.4738279,163.4412735,163.4412735,1.6735221,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,19,10,左下,0,2,2,0,2,0,0,1,1,9,,,,,,,,,,,,60,163.9585869,164.0419592,164.0419592,1,2,1,163.4579524,0.5006345,2.5028763,,,1.6458198,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,7,19,右下,1,1,2,0,2,0,0,2,2,5,,,,,,,,,,,,79,166.9458636,167.0287638,167.0287638,0,2,0,166.4446988,0.5011648,2.4861119,169.4314933,169.4314933,1.4199864,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,9,13,右上,1,1,2,0,2,0,0,3,3,8,,,,,,,,,,,,86,169.9489732,170.0321904,170.0321904,1,1,1,169.4485324,0.5004408,2.5026688,172.4349562,172.4349562,1.2955822,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
1,16,6,右上,1,1,2,0,2,0,0,4,4,6,,,,,,,,,,,,54,172.9523856,173.0356338,173.0356338,1,1,1,172.4516988,0.5006868,2.5027256,175.4384058,175.4384058,1.2042487,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
2,11,40,右下,0,2,2,0,2,0,0,5,5,4,,,,,,,,,,,,25,175.955777,176.039062,176.039062,1,2,1,175.4551172,0.5006598,2.5027316,178.4419741,178.4419741,1.25672,None,,,,,,,testing,1,2024-02-16_14h43.39.499,clock-master,2023.1.3,59.93849112
