trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,instr_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
11.977316400007112,11.977316400007112,s,0.43444430000090506,None,,,,823112,001,2024-02-21_16h43.40.726,nback-master-final,2023.1.3,59.93127081507179,
,,,,,12.432337499994901,12.432337499994901,13.049645200007944,,,,,,,
