trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,run_no,instr_txt.started,prepared_resp.started,participant,session,date,expName,psychopyVersion,frameRate,
15.582591400001547,15.582591400001547,s,0.4827781999920262,None,,,,127518,001,2024-02-21_18h04.17.532,nback-master-final,2023.1.3,59.9251654556009,
,,,,,2,,,,,,,,,
