Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,corrAns,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,run_no,prep_instr_1.started,target_1.started,prep_instr_1.stopped,target_1.stopped,trial_fixation_1_1.started,trial_fixation_1_1.stopped,image_1_1.started,key_resp_1_1.started,image_1_1.stopped,key_resp_1_1.stopped,trial_fixation_1_2.started,trial_fixation_1_2.stopped,image_1_2.started,key_resp_1_2.started,image_1_2.stopped,key_resp_1_2.stopped,trial_fixation_1_3.started,trial_fixation_1_3.stopped,image_1_3.started,key_resp_1_3.started,image_1_3.stopped,key_resp_1_3.stopped,trial_fixation_1_4.started,trial_fixation_1_4.stopped,image_1_4.started,key_resp_1_4.started,image_1_4.stopped,key_resp_1_4.stopped,trial_fixation_1_5.started,trial_fixation_1_5.stopped,image_1_5.started,key_resp_1_5.started,image_1_5.stopped,key_resp_1_5.stopped,trial_fixation_1_6.started,trial_fixation_1_6.stopped,image_1_6.started,key_resp_1_6.started,image_1_6.stopped,key_resp_1_6.stopped,trial_fixation_1_7.started,trial_fixation_1_7.stopped,image_1_7.started,key_resp_1_7.started,image_1_7.stopped,key_resp_1_7.stopped,trial_fixation_1_8.started,trial_fixation_1_8.stopped,image_1_8.started,key_resp_1_8.started,image_1_8.stopped,key_resp_1_8.stopped,trial_fixation_1_9.started,trial_fixation_1_9.stopped,image_1_9.started,key_resp_1_9.started,image_1_9.stopped,key_resp_1_9.stopped,trial_fixation_1_10.started,trial_fixation_1_10.stopped,image_1_10.started,key_resp_1_10.started,image_1_10.stopped,key_resp_1_10.stopped,key_resp_1_1.keys,key_resp_1_1.corr,key_resp_1_2.keys,key_resp_1_2.corr,key_resp_1_3.keys,key_resp_1_3.corr,key_resp_1_4.keys,key_resp_1_4.corr,key_resp_1_5.keys,key_resp_1_5.corr,key_resp_1_6.keys,key_resp_1_6.corr,key_resp_1_7.keys,key_resp_1_7.corr,key_resp_1_8.keys,key_resp_1_8.corr,key_resp_1_9.keys,key_resp_1_9.corr,key_resp_1_10.keys,key_resp_1_10.corr,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,trial_fixation_2_1.started,trial_fixation_2_1.stopped,image_2_1.started,image_2_1.stopped,trial_fixation_2_2.started,trial_fixation_2_2.stopped,image_2_2.started,image_2_2.stopped,trial_fixation_2_3.started,trial_fixation_2_3.stopped,image_2_3.started,image_2_3.stopped,trial_fixation_2_4.started,trial_fixation_2_4.stopped,image_2_4.started,image_2_4.stopped,trial_fixation_2_5.started,trial_fixation_2_5.stopped,image_2_5.started,image_2_5.stopped,trial_fixation_2_6.started,trial_fixation_2_6.stopped,image_2_6.started,image_2_6.stopped,trial_fixation_2_7.started,trial_fixation_2_7.stopped,image_2_7.started,image_2_7.stopped,trial_fixation_2_8.started,trial_fixation_2_8.stopped,image_2_8.started,image_2_8.stopped,trial_fixation_2_9.started,trial_fixation_2_9.stopped,image_2_9.started,image_2_9.stopped,trial_fixation_2_10.started,trial_fixation_2_10.stopped,image_2_10.started,image_2_10.stopped,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,1,1,BP_001_BP1_BA.png,target,target,Body,2-Back,1,0,3,3,3,,,,,,,,,,,1,258.7061479999684,258.7061479999684,261.1770964998286,261.1770964998286,261.1770964998286,261.6760416999459,261.6760416999459,261.6760416999459,264.16947199986316,264.16947199986316,264.16947199986316,264.66837379988283,264.66837379988283,264.66837379988283,267.1617570000235,267.1617570000235,267.1617570000235,267.6606950999703,267.6606950999703,267.6606950999703,270.15368560003117,270.15368560003117,270.15368560003117,270.6526424998883,270.6526424998883,270.6526424998883,273.14583609998226,273.14583609998226,273.14583609998226,273.6448736998718,273.6448736998718,273.6448736998718,276.13806140003726,276.13806140003726,276.13806140003726,276.6369836998638,276.6369836998638,276.6369836998638,279.13031849986874,279.13031849986874,279.13031849986874,279.46302039991133,279.46302039991133,279.46302039991133,281.95607139985077,281.95607139985077,281.95607139985077,282.45501429983415,282.45501429983415,282.45501429983415,284.9482018998824,284.9482018998824,284.9482018998824,285.4472767999396,285.4472767999396,285.4472767999396,287.9403911998961,287.9403911998961,287.9403911998961,288.4394380999729,288.4394380999729,288.4394380999729,291.008170499932,291.008170499932,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,291.008170499932,291.008170499932,293.4759324998595,293.4759324998595,293.4759324998595,293.9746957998723,293.9746957998723,296.4678865999449,296.4678865999449,296.96700829989277,296.96700829989277,299.46027090004645,299.46027090004645,299.95909989997745,299.95909989997745,302.45233369991183,302.45233369991183,302.9512620999012,302.9512620999012,305.4443667999003,305.4443667999003,305.94336749985814,305.94336749985814,308.43659950001165,308.43659950001165,308.9355077999644,308.9355077999644,311.42890209984034,311.42890209984034,311.76147899986245,311.76147899986245,314.25471260002814,314.25471260002814,314.7536805998534,314.7536805998534,317.2468315998558,317.2468315998558,317.74565429985523,317.74565429985523,320.2390731999185,320.2390731999185,320.73782599996775,320.73782599996775,323.23118190001696,323.23118190001696,338.28074579988606,Jocelyn_ZB216,001,2024-02-20_17h01.08.206,nback-master,2023.1.3,60.149797046807336,
1,1,1,BP_005_BP19_BA.png,nonlure,nontarget,Body,2-Back,2,0,4,4,4,,,,,,,,,,,5,338.28074579988606,338.28074579988606,340.7517074998468,340.7517074998468,340.7517074998468,341.25071269995533,341.25071269995533,341.25071269995533,343.74415110005066,343.74415110005066,343.74415110005066,344.24283779994585,344.24283779994585,344.24283779994585,346.7361790998839,346.7361790998839,346.7361790998839,347.23520329990424,347.23520329990424,347.23520329990424,349.72815039986745,349.72815039986745,349.72815039986745,350.2271936000325,350.2271936000325,350.2271936000325,352.7205374999903,352.7205374999903,352.7205374999903,353.2193692999426,353.2193692999426,353.2193692999426,355.71273699984886,355.71273699984886,355.71273699984886,356.2115372000262,356.2115372000262,356.2115372000262,358.70486659999005,358.70486659999005,358.70486659999005,359.03762489999644,359.03762489999644,359.03762489999644,361.5306644998491,361.5306644998491,361.5306644998491,362.0296511000488,362.0296511000488,362.0296511000488,364.52282419987023,364.52282419987023,364.52282419987023,365.02176929987036,365.02176929987036,365.02176929987036,367.51509610004723,367.51509610004723,367.51509610004723,368.0141568998806,368.0141568998806,368.0141568998806,370.5687106999103,370.5687106999103,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,370.5687106999103,370.5687106999103,373.0338699000422,373.0338699000422,373.0338699000422,373.5329908998683,373.5329908998683,376.0262627999764,376.0262627999764,376.52482219995,376.52482219995,379.01835549995303,379.01835549995303,379.5172653000336,379.5172653000336,382.01076159998775,382.01076159998775,382.5100526998285,382.5100526998285,385.00267850002274,385.00267850002274,385.5013452998828,385.5013452998828,387.9948080999311,387.9948080999311,388.4935565998312,388.4935565998312,390.9868216998875,390.9868216998875,391.3194560999982,391.3194560999982,393.8127025999129,393.8127025999129,394.31150710000657,394.31150710000657,396.80473649990745,396.80473649990745,397.3036525999196,397.3036525999196,399.79696869989857,399.79696869989857,400.2958541000262,400.2958541000262,402.78930249996483,402.78930249996483,417.8218318000436,Jocelyn_ZB216,001,2024-02-20_17h01.08.206,nback-master,2023.1.3,60.149797046807336,
1,1,1,BP_003_BP16_BA.png,nonlure,nontarget,Body,2-Back,2,0,5,5,5,,,,,,,,,,,5,417.8218318000436,417.8218318000436,420.2931593998801,420.2931593998801,420.2931593998801,420.7920750998892,420.7920750998892,420.7920750998892,423.28534749988467,423.28534749988467,423.28534749988467,423.78421409986913,423.78421409986913,423.78421409986913,426.27743799984455,426.27743799984455,426.27743799984455,426.7763266998809,426.7763266998809,426.7763266998809,429.2695024998393,429.2695024998393,429.2695024998393,429.76836419990286,429.76836419990286,429.76836419990286,432.261956699891,432.261956699891,432.261956699891,432.76090099988505,432.76090099988505,432.76090099988505,435.2541253999807,435.2541253999807,435.2541253999807,435.75300209992565,435.75300209992565,435.75300209992565,438.24610630003735,438.24610630003735,438.24610630003735,438.57884979993105,438.57884979993105,438.57884979993105,441.07195959985256,441.07195959985256,441.07195959985256,441.570934999967,441.570934999967,441.570934999967,444.0643904998433,444.0643904998433,444.0643904998433,444.56300639989786,444.56300639989786,444.56300639989786,447.0563401998952,447.0563401998952,447.0563401998952,447.55529509996995,447.55529509996995,447.55529509996995,450.0905515998602,450.0905515998602,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,450.0905515998602,450.0905515998602,452.55865489994176,452.55865489994176,452.55865489994176,453.05742700002156,453.05742700002156,455.55151799996383,455.55151799996383,456.05012879986316,456.05012879986316,458.5435162000358,458.5435162000358,459.04253940004855,459.04253940004855,461.53579899994656,461.53579899994656,462.034689999884,462.034689999884,464.5275546000339,464.5275546000339,465.0267949998379,465.0267949998379,467.5199446999468,467.5199446999468,468.0194180998951,468.0194180998951,470.5124541998375,470.5124541998375,470.8447302998975,470.8447302998975,473.3378634999972,473.3378634999972,473.8367510999087,473.8367510999087,476.3303224998526,476.3303224998526,476.8288038999308,476.8288038999308,479.3223798999097,479.3223798999097,479.82116020005196,479.82116020005196,482.3143082000315,482.3143082000315,497.31512929988094,Jocelyn_ZB216,001,2024-02-20_17h01.08.206,nback-master,2023.1.3,60.149797046807336,
1,1,1,BP_006_BP2_BA.png,lure,nontarget,Body,2-Back,2,0,6,6,6,,,,,,,,,,,5,497.31512929988094,497.31512929988094,499.78546739998274,499.78546739998274,499.78546739998274,500.2844690999482,500.2844690999482,500.2844690999482,502.7774048000574,502.7774048000574,502.7774048000574,503.2766317999922,503.2766317999922,503.2766317999922,505.76972429989837,505.76972429989837,505.76972429989837,506.2683862999547,506.2683862999547,506.2683862999547,508.76162289991044,508.76162289991044,508.76162289991044,509.2608514998574,509.2608514998574,509.2608514998574,511.75412469985895,511.75412469985895,511.75412469985895,512.2532172000501,512.2532172000501,512.2532172000501,514.7457884999458,514.7457884999458,514.7457884999458,515.2449437000323,515.2449437000323,515.2449437000323,517.7383189999964,517.7383189999964,517.7383189999964,518.0710396999493,518.0710396999493,518.0710396999493,520.5637663998641,520.5637663998641,520.5637663998641,521.0627842999529,521.0627842999529,521.0627842999529,523.556546199834,523.556546199834,523.556546199834,524.0551223999355,524.0551223999355,524.0551223999355,526.548515399918,526.548515399918,526.548515399918,527.0472570999991,527.0472570999991,527.0472570999991,529.5683029999491,529.5683029999491,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,529.5683029999491,529.5683029999491,532.0339183998294,532.0339183998294,532.0339183998294,532.5327403000556,532.5327403000556,535.0259930999018,535.0259930999018,535.5253375999164,535.5253375999164,538.0183595998678,538.0183595998678,538.5170634000096,538.5170634000096,541.0106903000269,541.0106903000269,541.5095041999593,541.5095041999593,544.0025084998924,544.0025084998924,544.5012489999644,544.5012489999644,546.9949373998679,546.9949373998679,547.4939490000252,547.4939490000252,549.9871064999606,549.9871064999606,550.3198571000248,550.3198571000248,552.8129520998336,552.8129520998336,553.3120164999273,553.3120164999273,555.80480240006,555.80480240006,556.304105399875,556.304105399875,558.7970469000284,558.7970469000284,559.2963288000319,559.2963288000319,561.789464399917,561.789464399917,576.814250000054,Jocelyn_ZB216,001,2024-02-20_17h01.08.206,nback-master,2023.1.3,60.149797046807336,
1,1,1,BP_004_BP18_BA.png,nonlure,nontarget,Body,2-Back,2,0,7,7,7,,,,,,,,,,,5,576.814250000054,576.814250000054,579.276825599838,579.276825599838,579.276825599838,579.7755324000027,579.7755324000027,579.7755324000027,582.2690057998989,582.2690057998989,582.2690057998989,582.768100899877,582.768100899877,582.768100899877,585.2608330999501,585.2608330999501,585.2608330999501,585.7597820998635,585.7597820998635,585.7597820998635,588.2535702998284,588.2535702998284,588.2535702998284,588.7519353998359,588.7519353998359,588.7519353998359,591.245176400058,591.245176400058,591.245176400058,591.7446470998693,591.7446470998693,591.7446470998693,594.2376814999152,594.2376814999152,594.2376814999152,594.7366644998547,594.7366644998547,594.7366644998547,597.2297950000502,597.2297950000502,597.2297950000502,597.5625423998572,597.5625423998572,597.5625423998572,600.0554712999146,600.0554712999146,600.0554712999146,600.5543581999373,600.5543581999373,600.5543581999373,603.0475862999447,603.0475862999447,603.0475862999447,603.5470114999916,603.5470114999916,603.5470114999916,606.0399785998743,606.0399785998743,606.0399785998743,606.5387112000026,606.5387112000026,606.5387112000026,609.0782400998287,609.0782400998287,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0,609.0782400998287,609.0782400998287,611.5423725000583,611.5423725000583,611.5423725000583,612.0411304000299,612.0411304000299,614.5341004999354,614.5341004999354,615.0330672999844,615.0330672999844,617.5261752000079,617.5261752000079,618.0252624999266,618.0252624999266,620.5183568999637,620.5183568999637,621.0176545998547,621.0176545998547,623.5105977999046,623.5105977999046,624.0098555998411,624.0098555998411,626.5030304999091,626.5030304999091,627.0021499998402,627.0021499998402,629.4954214999452,629.4954214999452,629.8278242999222,629.8278242999222,632.321215899894,632.321215899894,632.819995299913,632.819995299913,635.3132100999355,635.3132100999355,635.8122942999471,635.8122942999471,638.3053536999505,638.3053536999505,638.8041034999769,638.8041034999769,641.2971911998466,641.2971911998466,,Jocelyn_ZB216,001,2024-02-20_17h01.08.206,nback-master,2023.1.3,60.149797046807336,
