Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,corrAns,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,run_no,prep_instr_1.started,target_1.started,prep_instr_1.stopped,target_1.stopped,trial_fixation_1_1.started,trial_fixation_1_1.stopped,image_1_1.started,key_resp_1_1.started,image_1_1.stopped,key_resp_1_1.stopped,trial_fixation_1_2.started,trial_fixation_1_2.stopped,image_1_2.started,key_resp_1_2.started,image_1_2.stopped,key_resp_1_2.stopped,trial_fixation_1_3.started,trial_fixation_1_3.stopped,image_1_3.started,key_resp_1_3.started,image_1_3.stopped,key_resp_1_3.stopped,trial_fixation_1_4.started,trial_fixation_1_4.stopped,image_1_4.started,key_resp_1_4.started,image_1_4.stopped,key_resp_1_4.stopped,trial_fixation_1_5.started,trial_fixation_1_5.stopped,image_1_5.started,key_resp_1_5.started,image_1_5.stopped,key_resp_1_5.stopped,trial_fixation_1_6.started,trial_fixation_1_6.stopped,image_1_6.started,key_resp_1_6.started,image_1_6.stopped,key_resp_1_6.stopped,trial_fixation_1_7.started,trial_fixation_1_7.stopped,image_1_7.started,key_resp_1_7.started,image_1_7.stopped,key_resp_1_7.stopped,trial_fixation_1_8.started,trial_fixation_1_8.stopped,image_1_8.started,key_resp_1_8.started,image_1_8.stopped,key_resp_1_8.stopped,trial_fixation_1_9.started,trial_fixation_1_9.stopped,image_1_9.started,key_resp_1_9.started,image_1_9.stopped,key_resp_1_9.stopped,trial_fixation_1_10.started,trial_fixation_1_10.stopped,image_1_10.started,key_resp_1_10.started,image_1_10.stopped,key_resp_1_10.stopped,key_resp_1_1.keys,key_resp_1_2.keys,key_resp_1_3.keys,key_resp_1_4.keys,key_resp_1_5.keys,key_resp_1_6.keys,key_resp_1_7.keys,key_resp_1_8.keys,key_resp_1_9.keys,key_resp_1_10.keys,prep_instr_2.started,target_2.started,prep_instr_2.stopped,target_2.stopped,trial_fixation_2_1.started,trial_fixation_2_1.stopped,image_2_1.started,key_resp_2_1.started,image_2_1.stopped,key_resp_2_1.stopped,trial_fixation_2_2.started,trial_fixation_2_2.stopped,image_2_2.started,key_resp_2_2.started,image_2_2.stopped,key_resp_2_2.stopped,trial_fixation_2_3.started,trial_fixation_2_3.stopped,image_2_3.started,key_resp_2_3.started,image_2_3.stopped,key_resp_2_3.stopped,trial_fixation_2_4.started,trial_fixation_2_4.stopped,image_2_4.started,key_resp_2_4.started,image_2_4.stopped,key_resp_2_4.stopped,trial_fixation_2_5.started,trial_fixation_2_5.stopped,image_2_5.started,key_resp_2_5.started,image_2_5.stopped,key_resp_2_5.stopped,trial_fixation_2_6.started,trial_fixation_2_6.stopped,image_2_6.started,key_resp_2_6.started,image_2_6.stopped,key_resp_2_6.stopped,trial_fixation_2_7.started,trial_fixation_2_7.stopped,image_2_7.started,key_resp_2_7.started,image_2_7.stopped,key_resp_2_7.stopped,trial_fixation_2_8.started,trial_fixation_2_8.stopped,image_2_8.started,key_resp_2_8.started,image_2_8.stopped,key_resp_2_8.stopped,trial_fixation_2_9.started,trial_fixation_2_9.stopped,image_2_9.started,key_resp_2_9.started,image_2_9.stopped,key_resp_2_9.stopped,trial_fixation_2_10.started,trial_fixation_2_10.stopped,image_2_10.started,key_resp_2_10.started,image_2_10.stopped,key_resp_2_10.stopped,key_resp_2_1.keys,key_resp_2_2.keys,key_resp_2_3.keys,key_resp_2_4.keys,key_resp_2_5.keys,key_resp_2_6.keys,key_resp_2_7.keys,key_resp_2_8.keys,key_resp_2_9.keys,key_resp_2_10.keys,rest_txt.started,rest_txt.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,24.955237900139764,24.955237900139764,s,1.7114758000243455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
,,,,,,,,,,,,,,,,,,26.697874899953604,26.697874899953604,1,0.25509589980356395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_002_BP10_BA.png,nonlure,nontarget,Body,2-Back,2,0,0,0,0,,,,,,,,,,,6,27.202785700093955,27.202785700093955,29.673214700073004,29.673214700073004,29.673214700073004,30.172300700098276,30.172300700098276,30.172300700098276,32.66564010013826,32.66564010013826,32.66564010013826,33.16452640015632,33.16452640015632,33.16452640015632,35.65766130015254,35.65766130015254,35.65766130015254,36.15685100015253,36.15685100015253,36.15685100015253,38.64977740007453,38.64977740007453,38.64977740007453,39.148786399979144,39.148786399979144,39.148786399979144,41.64194729994051,41.64194729994051,41.64194729994051,42.140733800129965,42.140733800129965,42.140733800129965,44.63418280007318,44.63418280007318,44.63418280007318,45.13296420010738,45.13296420010738,45.13296420010738,47.62622550013475,47.62622550013475,47.62622550013475,47.95859030005522,47.95859030005522,47.95859030005522,50.45188260008581,50.45188260008581,50.45188260008581,50.95104350009933,50.95104350009933,50.95104350009933,53.444119499996305,53.444119499996305,53.444119499996305,53.94346070010215,53.94346070010215,53.94346070010215,56.436512500047684,56.436512500047684,56.436512500047684,56.93525620014407,56.93525620014407,56.93525620014407,59.49565250007436,59.49565250007436,None,None,None,None,None,None,None,None,None,None,59.49565250007436,59.49565250007436,61.97205219999887,61.97205219999887,61.97205219999887,62.47098210011609,62.47098210011609,62.47098210011609,64.96410450013354,64.96410450013354,64.96410450013354,65.46330019994639,65.46330019994639,65.46330019994639,67.95598180009983,67.95598180009983,67.95598180009983,68.45501739997417,68.45501739997417,68.45501739997417,70.94828439992853,70.94828439992853,70.94828439992853,71.44723320007324,71.44723320007324,71.44723320007324,73.94087820011191,73.94087820011191,73.94087820011191,74.43969959998503,74.43969959998503,74.43969959998503,76.93247539992444,76.93247539992444,76.93247539992444,77.43157220003195,77.43157220003195,77.43157220003195,79.92456539999694,79.92456539999694,79.92456539999694,80.25783569994383,80.25783569994383,80.25783569994383,82.75058210012503,82.75058210012503,82.75058210012503,83.24978920002468,83.24978920002468,83.24978920002468,85.74272430012934,85.74272430012934,85.74272430012934,86.24203820014372,86.24203820014372,86.24203820014372,88.73469990002923,88.73469990002923,88.73469990002923,89.23431170010008,89.23431170010008,89.23431170010008,91.72692609997466,91.72692609997466,None,None,None,None,None,None,None,None,None,None,91.72692609997466,106.76355010014959,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_001_BP1_BA.png,nonlure,nontarget,Body,2-Back,2,0,1,1,1,,,,,,,,,,,6,106.76355010014959,106.76355010014959,109.23122770013288,109.23122770013288,109.23122770013288,109.73036299995147,109.73036299995147,109.73036299995147,112.22328449995257,112.22328449995257,112.22328449995257,112.72211039997637,112.72211039997637,112.72211039997637,115.2153105000034,115.2153105000034,115.2153105000034,115.71473799995147,115.71473799995147,115.71473799995147,118.2080073999241,118.2080073999241,118.2080073999241,118.70685840002261,118.70685840002261,118.70685840002261,121.19997310009785,121.19997310009785,121.19997310009785,121.69865899998695,121.69865899998695,121.69865899998695,124.19172400003299,124.19172400003299,124.19172400003299,124.69114000000991,124.69114000000991,124.69114000000991,127.18395019997843,127.18395019997843,127.18395019997843,127.51665950007737,127.51665950007737,127.51665950007737,130.01014610007405,130.01014610007405,130.01014610007405,130.50884440005757,130.50884440005757,130.50884440005757,133.00217350013554,133.00217350013554,133.00217350013554,133.5011106999591,133.5011106999591,133.5011106999591,135.99402620014735,135.99402620014735,135.99402620014735,136.49366759997793,136.49366759997793,136.49366759997793,139.03887990000658,139.03887990000658,None,None,None,None,None,None,None,None,None,None,139.03887990000658,139.03887990000658,141.5131433000788,141.5131433000788,141.5131433000788,142.01253190007992,142.01253190007992,142.01253190007992,144.50560320005752,144.50560320005752,144.50560320005752,145.0041712000966,145.0041712000966,145.0041712000966,147.49763719993643,147.49763719993643,147.49763719993643,147.9962220999878,147.9962220999878,147.9962220999878,150.48961489996873,150.48961489996873,150.48961489996873,150.98857269994915,150.98857269994915,150.98857269994915,153.4818248001393,153.4818248001393,153.4818248001393,153.98106839996763,153.98106839996763,153.98106839996763,156.4741328000091,156.4741328000091,156.4741328000091,156.97313469997607,156.97313469997607,156.97313469997607,159.46628369996324,159.46628369996324,159.46628369996324,159.79897570004687,159.79897570004687,159.79897570004687,162.29215719993226,162.29215719993226,162.29215719993226,162.791184599977,162.791184599977,162.791184599977,165.28450260008685,165.28450260008685,165.28450260008685,165.78308850014582,165.78308850014582,165.78308850014582,168.27615660009906,168.27615660009906,168.27615660009906,168.77506559994072,168.77506559994072,168.77506559994072,171.2683578999713,171.2683578999713,None,None,None,None,None,None,None,None,None,None,171.2683578999713,186.31751640001312,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_006_BP2_BA.png,nonlure,nontarget,Body,2-Back,2,0,2,2,2,,,,,,,,,,,6,186.31751640001312,186.31751640001312,188.78899920010008,188.78899920010008,188.78899920010008,189.2883733001072,189.2883733001072,189.2883733001072,191.7814231000375,191.7814231000375,191.7814231000375,192.28045970015228,192.28045970015228,192.28045970015228,194.77360070007853,194.77360070007853,194.77360070007853,195.27218089997768,195.27218089997768,195.27218089997768,197.76586359995417,197.76586359995417,197.76586359995417,198.26457899995148,198.26457899995148,198.26457899995148,200.75788850011304,200.75788850011304,200.75788850011304,201.2570080999285,201.2570080999285,201.2570080999285,203.74966800003313,203.74966800003313,203.74966800003313,204.24906400009058,204.24906400009058,204.24906400009058,206.74187900009565,206.74187900009565,206.74187900009565,207.0749294999987,207.0749294999987,207.0749294999987,209.5679079000838,209.5679079000838,209.5679079000838,210.06753899995238,210.06753899995238,210.06753899995238,212.56028600013815,212.56028600013815,212.56028600013815,213.05888120015152,213.05888120015152,213.05888120015152,215.5522515999619,215.5522515999619,215.5522515999619,216.05120250000618,216.05120250000618,216.05120250000618,218.60123419994488,218.60123419994488,None,None,None,None,None,None,None,None,None,None,218.60123419994488,218.60123419994488,221.0713730000425,221.0713730000425,221.0713730000425,221.57039520004764,221.57039520004764,221.57039520004764,224.0634248999413,224.0634248999413,224.0634248999413,224.56218939996324,224.56218939996324,224.56218939996324,227.0552875001449,227.0552875001449,227.0552875001449,227.5542838999536,227.5542838999536,227.5542838999536,230.04757779999636,230.04757779999636,230.04757779999636,230.5466678000521,230.5466678000521,230.5466678000521,233.03988850000314,233.03988850000314,233.03988850000314,233.53894650004804,233.53894650004804,233.53894650004804,236.03181100008078,236.03181100008078,236.03181100008078,236.5311388000846,236.5311388000846,236.5311388000846,239.02397989993915,239.02397989993915,239.02397989993915,239.35661090002395,239.35661090002395,239.35661090002395,241.85009080008604,241.85009080008604,241.85009080008604,242.3489077000413,242.3489077000413,242.3489077000413,244.84212379995733,244.84212379995733,244.84212379995733,245.34105370007455,245.34105370007455,245.34105370007455,247.83413450000808,247.83413450000808,247.83413450000808,248.33307010005228,248.33307010005228,248.33307010005228,250.82625930011272,250.82625930011272,None,None,None,None,None,None,None,None,None,None,250.82625930011272,265.8755618999712,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_001_BP1_BA.png,target,target,Body,2-Back,1,0,3,3,3,,,,,,,,,,,6,265.8755618999712,265.8755618999712,268.34741319995373,268.34741319995373,268.34741319995373,268.8460173001513,268.8460173001513,268.8460173001513,271.33946119993925,271.33946119993925,271.33946119993925,271.8380454001017,271.8380454001017,271.8380454001017,274.33173310011625,274.33173310011625,274.33173310011625,274.8303302000277,274.8303302000277,274.8303302000277,277.3235768999439,277.3235768999439,277.3235768999439,277.8225771000143,277.8225771000143,277.8225771000143,280.31575489998795,280.31575489998795,280.31575489998795,280.81468640011735,280.81468640011735,280.81468640011735,283.308043200057,283.308043200057,283.308043200057,283.80707670003176,283.80707670003176,283.80707670003176,286.30047090002336,286.30047090002336,286.30047090002336,286.6327033000998,286.6327033000998,286.6327033000998,289.1261215999257,289.1261215999257,289.1261215999257,289.62511190003715,289.62511190003715,289.62511190003715,292.1179414000362,292.1179414000362,292.1179414000362,292.6168625999708,292.6168625999708,292.6168625999708,295.11035570013337,295.11035570013337,295.11035570013337,295.6090728000272,295.6090728000272,295.6090728000272,298.1538337999955,298.1538337999955,None,None,None,None,None,None,None,None,None,None,298.1538337999955,298.1538337999955,300.62905340013094,300.62905340013094,300.62905340013094,301.1285045000259,301.1285045000259,301.1285045000259,303.6214179000817,303.6214179000817,303.6214179000817,304.1204638001509,304.1204638001509,304.1204638001509,306.61315799993463,306.61315799993463,306.61315799993463,307.1127341000829,307.1127341000829,307.1127341000829,309.6054114999715,309.6054114999715,309.6054114999715,310.1050049001351,310.1050049001351,310.1050049001351,312.5978800000157,312.5978800000157,312.5978800000157,313.09656019997783,313.09656019997783,313.09656019997783,315.5900882000569,315.5900882000569,315.5900882000569,316.088624099968,316.088624099968,316.088624099968,318.5816289000213,318.5816289000213,318.5816289000213,318.9141186999623,318.9141186999623,318.9141186999623,321.40744710015133,321.40744710015133,321.40744710015133,321.90631869994104,321.90631869994104,321.90631869994104,324.39940840005875,324.39940840005875,324.39940840005875,324.8985236999579,324.8985236999579,324.8985236999579,327.39172680000775,327.39172680000775,327.39172680000775,327.8905487000011,327.8905487000011,327.8905487000011,330.384031600086,330.384031600086,None,None,None,None,None,None,None,None,None,None,330.384031600086,345.4137212000787,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_005_BP19_BA.png,nonlure,nontarget,Body,2-Back,2,0,4,4,4,,,,,,,,,,,7,345.4137212000787,345.4137212000787,347.8879231000319,347.8879231000319,347.8879231000319,348.38682210003026,348.38682210003026,348.38682210003026,350.8800387000665,350.8800387000665,350.8800387000665,351.37892529997043,351.37892529997043,351.37892529997043,353.87238730001263,353.87238730001263,353.87238730001263,354.37118340004236,354.37118340004236,354.37118340004236,356.86439190013334,356.86439190013334,356.86439190013334,357.3633830000181,357.3633830000181,357.3633830000181,359.85648700012825,359.85648700012825,359.85648700012825,360.355390700046,360.355390700046,360.355390700046,362.84872470004484,362.84872470004484,362.84872470004484,363.3475649000611,363.3475649000611,363.3475649000611,365.84084540000185,365.84084540000185,365.84084540000185,366.17368190013804,366.17368190013804,366.17368190013804,368.6668356000446,368.6668356000446,368.6668356000446,369.16565069998614,369.16565069998614,369.16565069998614,371.65890910010785,371.65890910010785,371.65890910010785,372.157770199934,372.157770199934,372.157770199934,374.6512148999609,374.6512148999609,374.6512148999609,375.1499507999979,375.1499507999979,375.1499507999979,377.6829987000674,377.6829987000674,None,None,None,None,None,None,None,None,None,None,377.6829987000674,377.6829987000674,380.15318959997967,380.15318959997967,380.15318959997967,380.6521521001123,380.6521521001123,380.6521521001123,383.1454720001202,383.1454720001202,383.1454720001202,383.64434460015036,383.64434460015036,383.64434460015036,386.137705600122,386.137705600122,386.137705600122,386.6367353000678,386.6367353000678,386.6367353000678,389.1298835000489,389.1298835000489,389.1298835000489,389.6285771999974,389.6285771999974,389.6285771999974,392.1220581000671,392.1220581000671,392.1220581000671,392.62083910009824,392.62083910009824,392.62083910009824,395.1140219999943,395.1140219999943,395.1140219999943,395.61293780012056,395.61293780012056,395.61293780012056,398.1063653000165,398.1063653000165,398.1063653000165,398.43900780007243,398.43900780007243,398.43900780007243,400.9322869000025,400.9322869000025,400.9322869000025,401.4310620999895,401.4310620999895,401.4310620999895,403.92429240001366,403.92429240001366,403.92429240001366,404.42301869997755,404.42301869997755,404.42301869997755,406.9167737001553,406.9167737001553,406.9167737001553,407.4158473999705,407.4158473999705,407.4158473999705,409.9093214001041,409.9093214001041,None,None,None,None,None,None,None,None,None,None,409.9093214001041,424.970529000042,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_003_BP16_BA.png,nonlure,nontarget,Body,2-Back,2,0,5,5,5,,,,,,,,,,,7,424.970529000042,424.970529000042,427.4462941000238,427.4462941000238,427.4462941000238,427.9453917001374,427.9453917001374,427.9453917001374,430.43849129998125,430.43849129998125,430.43849129998125,430.93745100009255,430.93745100009255,430.93745100009255,433.43056729994714,433.43056729994714,433.43056729994714,433.93010450014845,433.93010450014845,433.93010450014845,436.4227359001525,436.4227359001525,436.4227359001525,436.9217030000873,436.9217030000873,436.9217030000873,439.4151916000992,439.4151916000992,439.4151916000992,439.9139161000494,439.9139161000494,439.9139161000494,442.4074230999686,442.4074230999686,442.4074230999686,442.9061223999597,442.9061223999597,442.9061223999597,445.3992036001291,445.3992036001291,445.3992036001291,445.7322724000551,445.7322724000551,445.7322724000551,448.22509780013934,448.22509780013934,448.22509780013934,448.72409930010326,448.72409930010326,448.72409930010326,451.21752350009046,451.21752350009046,451.21752350009046,451.7167575999629,451.7167575999629,451.7167575999629,454.2098809001036,454.2098809001036,454.2098809001036,454.7083575001452,454.7083575001452,454.7083575001452,457.2732446999289,457.2732446999289,None,None,None,None,None,None,None,None,None,None,457.2732446999289,457.2732446999289,459.7452527999412,459.7452527999412,459.7452527999412,460.2437601001002,460.2437601001002,460.2437601001002,462.73757070000283,462.73757070000283,462.73757070000283,463.2363078999333,463.2363078999333,463.2363078999333,465.72973980009556,465.72973980009556,465.72973980009556,466.2287229001522,466.2287229001522,466.2287229001522,468.7212028999347,468.7212028999347,468.7212028999347,469.22078029997647,469.22078029997647,469.22078029997647,471.71400330006145,471.71400330006145,471.71400330006145,472.21248709992506,472.21248709992506,472.21248709992506,474.7060104999691,474.7060104999691,474.7060104999691,475.2047659000382,475.2047659000382,475.2047659000382,477.6983022999484,477.6983022999484,477.6983022999484,478.03090270003304,478.03090270003304,478.03090270003304,480.52380220009945,480.52380220009945,480.52380220009945,481.0233346000314,481.0233346000314,481.0233346000314,483.5161550999619,483.5161550999619,483.5161550999619,484.01479179994203,484.01479179994203,484.01479179994203,486.5080299000256,486.5080299000256,486.5080299000256,487.00710889999755,487.00710889999755,487.00710889999755,489.5005727999378,489.5005727999378,None,None,None,None,None,None,None,None,None,None,489.5005727999378,504.5421297000721,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_006_BP2_BA.png,lure,nontarget,Body,2-Back,2,0,6,6,6,,,,,,,,,,,7,504.5421297000721,504.5421297000721,507.00462800008245,507.00462800008245,507.00462800008245,507.50348700000905,507.50348700000905,507.50348700000905,509.9967797000427,509.9967797000427,509.9967797000427,510.49593560001813,510.49593560001813,510.49593560001813,512.9887415999547,512.9887415999547,512.9887415999547,513.4881103001535,513.4881103001535,513.4881103001535,515.9810526999645,515.9810526999645,515.9810526999645,516.4795892999973,516.4795892999973,516.4795892999973,518.9729172000661,518.9729172000661,518.9729172000661,519.4722625000868,519.4722625000868,519.4722625000868,521.9651552999858,521.9651552999858,521.9651552999858,522.4643948001321,522.4643948001321,522.4643948001321,524.9575590000022,524.9575590000022,524.9575590000022,525.2903080999386,525.2903080999386,525.2903080999386,527.7834008000791,527.7834008000791,527.7834008000791,528.2820639000274,528.2820639000274,528.2820639000274,530.7755636000074,530.7755636000074,530.7755636000074,531.2742469999939,531.2742469999939,531.2742469999939,533.7679222000297,533.7679222000297,533.7679222000297,534.2663843000773,534.2663843000773,534.2663843000773,536.8118940999266,536.8118940999266,None,None,None,None,None,None,None,None,None,None,536.8118940999266,536.8118940999266,539.2862583000679,539.2862583000679,539.2862583000679,539.7853850999381,539.7853850999381,539.7853850999381,542.2787085999735,542.2787085999735,542.2787085999735,542.7773655001074,542.7773655001074,542.7773655001074,545.2707502001431,545.2707502001431,545.2707502001431,545.7697946999688,545.7697946999688,545.7697946999688,548.2631074001547,548.2631074001547,548.2631074001547,548.762261700118,548.762261700118,548.762261700118,551.254865600029,551.254865600029,551.254865600029,551.7540154999588,551.7540154999588,551.7540154999588,554.2472958001308,554.2472958001308,554.2472958001308,554.7460213000886,554.7460213000886,554.7460213000886,557.2391846999526,557.2391846999526,557.2391846999526,557.572226600023,557.572226600023,557.572226600023,560.0655489000492,560.0655489000492,560.0655489000492,560.5646224000957,560.5646224000957,560.5646224000957,563.0575435000937,563.0575435000937,563.0575435000937,563.5567588999402,563.5567588999402,563.5567588999402,566.04937230004,566.04937230004,566.04937230004,566.5488971001469,566.5488971001469,566.5488971001469,569.0416077999398,569.0416077999398,None,None,None,None,None,None,None,None,None,None,569.0416077999398,584.1031415001489,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
1,1,1,BP_004_BP18_BA.png,nonlure,nontarget,Body,2-Back,2,0,7,7,7,,,,,,,,,,,7,584.1031415001489,584.1031415001489,586.5790804999415,586.5790804999415,586.5790804999415,587.0779075000901,587.0779075000901,587.0779075000901,589.5712979000527,589.5712979000527,589.5712979000527,590.0701623000205,590.0701623000205,590.0701623000205,592.5635325999465,592.5635325999465,592.5635325999465,593.0627764000092,593.0627764000092,593.0627764000092,595.5556306000799,595.5556306000799,595.5556306000799,596.0542023000307,596.0542023000307,596.0542023000307,598.5473724999465,598.5473724999465,598.5473724999465,599.0468791001476,599.0468791001476,599.0468791001476,601.5397614000831,601.5397614000831,601.5397614000831,602.0386117000598,602.0386117000598,602.0386117000598,604.5317925000563,604.5317925000563,604.5317925000563,604.8647680000868,604.8647680000868,604.8647680000868,607.3580275999848,607.3580275999848,607.3580275999848,607.8571651999373,607.8571651999373,607.8571651999373,610.3498108999338,610.3498108999338,610.3498108999338,610.8493554999586,610.8493554999586,610.8493554999586,613.3423033000436,613.3423033000436,613.3423033000436,613.8409907999448,613.8409907999448,613.8409907999448,616.3980344000738,616.3980344000738,None,None,None,None,None,None,None,None,None,None,616.3980344000738,616.3980344000738,618.8612766000442,618.8612766000442,618.8612766000442,619.3600550999399,619.3600550999399,619.3600550999399,621.8533193001058,621.8533193001058,621.8533193001058,622.3518817001022,622.3518817001022,622.3518817001022,624.845587400021,624.845587400021,624.845587400021,625.3441536000464,625.3441536000464,625.3441536000464,627.8376848001499,627.8376848001499,627.8376848001499,628.3365933001041,628.3365933001041,628.3365933001041,630.8293598000892,630.8293598000892,630.8293598000892,631.3284565999638,631.3284565999638,631.3284565999638,633.8218890000135,633.8218890000135,633.8218890000135,634.3209315999411,634.3209315999411,634.3209315999411,636.8142077999655,636.8142077999655,636.8142077999655,637.1464283999521,637.1464283999521,637.1464283999521,639.6401848001406,639.6401848001406,639.6401848001406,640.1386967001017,640.1386967001017,640.1386967001017,642.6322119999677,642.6322119999677,642.6322119999677,643.1306918000337,643.1306918000337,643.1306918000337,645.6242053001188,645.6242053001188,645.6242053001188,646.123344300082,646.123344300082,646.123344300082,648.6164708000142,648.6164708000142,None,None,None,None,None,None,None,None,None,None,648.6164708000142,,Jocelyn_ZB216,001,2024-02-20_17h26.29.406,nback-master,2023.1.3,60.12672306651299,
